	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000185201	580.3559823	4.613687647	0.120344323	38.33739335	0	0	IFITM2
ENSG00000138385	439.4502063	3.296659458	0.09007433	36.59932275	2.93E-293	1.76E-289	SSB
ENSG00000122643	271.0939205	5.529914045	0.155946042	35.46043207	2.00E-275	8.00E-272	NT5C3A
ENSG00000136689	1076.92872	6.284821045	0.178202004	35.2679595	1.82E-272	5.46E-269	IL1RN
ENSG00000152061	252.7242539	5.708423401	0.178537332	31.97327605	2.57E-224	6.15E-221	RABGAP1L
ENSG00000107201	249.5257548	5.003597234	0.16120871	31.03800801	1.66E-211	3.31E-208	DDX58
ENSG00000100220	183.0250509	3.419533072	0.11326751	30.18988478	3.22E-200	5.51E-197	RTCB
ENSG00000146425	1133.647928	2.735062156	0.091900101	29.76125306	1.24E-194	1.86E-191	DYNLT1
ENSG00000172183	3827.678493	5.454349141	0.191775892	28.44126586	6.25E-178	8.32E-175	ISG20
ENSG00000041357	581.6168095	2.068756314	0.073362738	28.19900647	6.01E-175	7.21E-172	PSMA4
ENSG00000183726	459.3068424	1.761738956	0.063148071	27.89853964	2.78E-171	3.03E-168	TMEM50A
ENSG00000134326	244.1034873	6.528477544	0.235523719	27.71898127	4.12E-169	4.12E-166	CMPK2
ENSG00000188313	934.7330939	3.02144586	0.112904759	26.76101432	9.19E-158	8.48E-155	PLSCR1
ENSG00000135114	561.3762752	4.251480849	0.159035182	26.73295812	1.95E-157	1.67E-154	OASL
ENSG00000055332	203.4979823	4.248910777	0.163033565	26.06157065	9.95E-150	7.95E-147	EIF2AK2
ENSG00000105402	208.6865127	2.391168245	0.091785909	26.05158307	1.29E-149	9.67E-147	NAPA
ENSG00000123609	298.4028216	2.840565393	0.110464294	25.71478334	7.99E-146	5.63E-143	NMI
ENSG00000185507	846.1796582	3.43814939	0.137764287	24.95675384	1.80E-137	1.20E-134	IRF7
ENSG00000034510	3216.198485	2.180656699	0.088368131	24.67695834	1.89E-134	1.19E-131	TMSB10
ENSG00000175550	368.6613763	1.716029123	0.070387821	24.37963135	2.81E-131	1.69E-128	DRAP1
ENSG00000205413	300.0020507	4.04152736	0.170742813	23.67026336	7.30E-124	4.17E-121	SAMD9
ENSG00000162654	262.8354954	4.036187419	0.174691254	23.10469087	4.15E-118	2.26E-115	GBP4
ENSG00000135899	178.613913	3.500087146	0.152085584	23.01393099	3.38E-117	1.76E-114	SP110
ENSG00000177409	439.5063273	3.916329321	0.172322831	22.72670019	2.44E-114	1.22E-111	SAMD9L
