#gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GBP5	14615.1416	-4.136425208	0.054870577	-75.38512345	0	0
ZNF704	195.8025898	3.984346697	0.096961933	41.09186528	0	0
ZC3H14	455.9435535	0.859111057	0.022378284	38.3903906	0	0
BC040735	169.2489217	-3.872958651	0.054560716	-70.98438057	0	0
SPPL2A	4652.204559	-1.064845618	0.023826672	-44.69132907	0	0
SMAD3	328.1800587	-3.282366643	0.062156865	-52.80778925	0	0
IPO13	392.355852	1.188074348	0.029835248	39.82116491	0	0
ANKFY1	4813.002044	-1.394934041	0.019478969	-71.612312	0	0
OPA3	447.7821322	0.60569013	0.015011136	40.34938715	0	0
SIDT2	7738.753305	-1.804434266	0.038953843	-46.32236865	0	0
PRKAR2A	738.9056938	0.829140599	0.021406553	38.7330266	0	0
PHACTR4	2748.614673	-1.911066622	0.041078831	-46.52193316	0	0
CLIC4	11257.88153	-0.990845365	0.025793174	-38.41502293	0	0
LRSAM1	636.0401738	-0.825727543	0.020723986	-39.84405019	0	0
TMEM140	1889.760758	-2.437000855	0.051414002	-47.39955551	0	0
OGFR	2875.787168	-1.597149087	0.024866614	-64.22865186	0	0
RAD9A	358.9697337	-1.961084651	0.025893124	-75.73766101	0	0
GSDMD	1358.017928	-1.215002622	0.029318378	-41.44167206	0	0
DUS2L	255.9162045	1.155536058	0.030105165	38.38331569	0	0
UTRN	4587.799836	-1.559056393	0.027436913	-56.82331707	0	0
SRSF4	2305.629782	-0.823116327	0.018652892	-44.12808019	0	0
SRSF6	1331.528853	1.411202113	0.033311338	42.36401802	0	0
SRSF8	284.5284631	1.314981535	0.032062934	41.012514	0	0
RNF138	1604.959482	-1.235014438	0.023802729	-51.88541355	0	0
CISD2	1469.097131	-1.014982448	0.024216828	-41.91227925	0	0
LGALS9	10913.62785	-2.070723951	0.020438737	-101.3136961	0	0
RNF114	4959.696085	-1.305621128	0.018641067	-70.04004309	0	0
EREG	2101.74732	-4.030552308	0.073466985	-54.86208965	0	0
OCRL	454.1411752	0.792382278	0.01869017	42.39567054	0	0
KIAA1033	6319.330992	-0.982972753	0.024424634	-40.24513776	0	0
GCNT4	178.7001733	-2.866210657	0.071646554	-40.0048643	0	0
GCNT1	5033.440236	-2.116406563	0.055870256	-37.88073832	0	0
OASL	29101.1608	-5.523194641	0.061340111	-90.04213641	0	0
ARHGAP27	3358.555377	-1.80248048	0.025887939	-69.62626317	0	0
SAP18	2986.974689	-1.029329778	0.019352203	-53.18928216	0	0
TERF2	316.9610534	0.929620007	0.023520678	39.5235211	0	0
RASSF3	1926.488944	-0.796337227	0.020192747	-39.43679453	0	0
RSAD2	55016.32915	-5.866176215	0.115610016	-50.74107279	0	0
DYNC1LI2	2906.515598	-0.909720013	0.020327129	-44.75398348	0	0
CHDH	178.8416483	3.615545506	0.074798044	48.33743418	0	0
KDM1B	2013.003539	-1.122915417	0.026083281	-43.05115637	0	0
SRGAP2D	2446.038438	-1.635416089	0.027314342	-59.87389564	0	0
SRGAP2B	1455.778459	-1.909104921	0.026056522	-73.26783242	0	0
HESX1	1119.001916	-6.052162646	0.046884858	-129.0856563	0	0
GGA1	636.7541739	1.050476835	0.026163361	40.15068408	0	0
DEK	7471.41135	-0.786978956	0.018607324	-42.29404218	0	0
PRKACA	1101.573548	1.069798283	0.025395814	42.1249843	0	0
PSMB9	2748.706278	-2.259778365	0.030968668	-72.96982863	0	0
RMI2	871.8072542	-2.392793007	0.036877519	-64.88486873	0	0
SCAF11	3864.918568	-0.640327609	0.015419846	-41.52619914	0	0
NUP160	1816.040274	-0.712798688	0.015429139	-46.19821582	0	0
SCIN	330.6554294	-5.915009682	0.110236034	-53.65767863	0	0
TAP2	7125.911267	-1.841800179	0.029642837	-62.13306125	0	0
CDC73	2321.284711	-1.233935186	0.015490208	-79.65904451	0	0
SPATA13	1890.279041	-1.830706799	0.036205844	-50.56384815	0	0
XLOC_008908	472.3937769	-7.053759566	0.089794061	-78.55485614	0	0
DNAJC7	3739.16058	-0.792359991	0.009435494	-83.97652803	0	0
RALBP1	1141.757437	0.578337824	0.013349187	43.32382231	0	0
RARRES3	387.922908	-3.575470337	0.059629863	-59.96106927	0	0
CDK17	1096.68779	-1.308294246	0.017067529	-76.65399446	0	0
TMEM255A	727.9252659	-2.267352906	0.049434239	-45.86604206	0	0
LRRC41	838.0767526	0.64494967	0.015700144	41.079221	0	0
B3GNT2	3003.4985	-1.492224951	0.037057333	-40.26800667	0	0
TUFT1	405.5129466	-1.771813595	0.044528811	-39.79027408	0	0
CXCL9	11296.45658	-7.004065874	0.145899127	-48.00622195	0	0
APOL6	11557.66729	-2.84442458	0.023616012	-120.4447472	0	0
BRIP1	2198.636044	-4.446123179	0.051813076	-85.81083159	0	0
USP30-AS1	171.4281768	-3.656548951	0.044904246	-81.4299147	0	0
ACOX1	882.6820014	0.811315241	0.019536022	41.52919275	0	0
MCL1	15355.66084	-1.145767886	0.020400401	-56.16398924	0	0
C3orf38	2177.219714	-1.361922628	0.024103812	-56.50237563	0	0
FPR2	213.5578964	-3.434078502	0.089282224	-38.46318286	0	0
FPR3	38976.77059	-1.474124698	0.033479141	-44.03113911	0	0
TRANK1	6318.268964	-3.522832997	0.037859618	-93.04988214	0	0
FRMD3	1136.782636	-6.208708179	0.073421994	-84.56196675	0	0
