	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000172183	459.807188	3.591095204	0.10133588	35.43754879	4.51E-275	2.74E-271	ISG20
ENSG00000187608	689.4832192	4.712206353	0.16762324	28.11189157	7.01E-174	2.13E-170	ISG15
ENSG00000119917	196.6420034	5.489258034	0.198238485	27.69017345	9.17E-169	1.86E-165	IFIT3
ENSG00000185745	132.5908916	5.895564964	0.239370531	24.62945181	6.11E-134	9.29E-131	IFIT1
ENSG00000126709	249.3264087	5.136302591	0.230205484	22.3118168	2.84E-110	3.45E-107	IFI6
ENSG00000119922	73.66648445	4.408330427	0.220043925	20.03386561	2.79E-89	2.83E-86	IFIT2
ENSG00000121858	93.04115511	3.268480621	0.17233337	18.96603444	3.26E-80	2.83E-77	TNFSF10
ENSG00000157601	121.3985125	4.079408968	0.215884374	18.89626789	1.22E-79	9.31E-77	MX1
ENSG00000089127	73.48839016	4.278169859	0.232266193	18.41925341	9.21E-76	6.22E-73	OAS1
ENSG00000130066	129.7351157	2.939428773	0.164018884	17.92128264	8.05E-72	4.89E-69	SAT1
ENSG00000205413	53.16494626	2.889630755	0.163131171	17.71354137	3.30E-70	1.82E-67	SAMD9
ENSG00000188313	92.03625034	3.720688367	0.211951762	17.55441111	5.50E-69	2.79E-66	PLSCR1
ENSG00000185507	92.8498811	2.963566625	0.17203207	17.22682648	1.67E-66	7.82E-64	IRF7
ENSG00000134321	47.45037639	5.528465828	0.338498654	16.33231257	5.81E-60	2.53E-57	RSAD2
ENSG00000156587	83.47399387	1.94420945	0.122259391	15.90233222	6.10E-57	2.48E-54	UBE2L6
ENSG00000138646	36.38959303	4.169913806	0.266713204	15.63444835	4.24E-55	1.61E-52	HERC5
ENSG00000146425	50.81453425	2.337978606	0.150129473	15.57308209	1.11E-54	3.97E-52	DYNLT1
ENSG00000133106	41.61975687	3.509510819	0.225645143	15.55323007	1.51E-54	5.11E-52	EPSTI1
ENSG00000132274	38.10921668	2.958362267	0.192155873	15.395638	1.75E-53	5.60E-51	TRIM22
ENSG00000177409	41.95222191	3.09830229	0.210323263	14.73114408	4.07E-49	1.24E-46	SAMD9L
ENSG00000125148	66.76214148	3.496877953	0.237457983	14.72630193	4.37E-49	1.27E-46	MT2A
ENSG00000101608	163.4149628	1.244651782	0.086164682	14.44503418	2.69E-47	7.45E-45	MYL12A
ENSG00000183486	31.24245357	3.598419254	0.251225325	14.3234734	1.56E-46	4.13E-44	MX2
ENSG00000134326	27.20595746	4.523200068	0.327740412	13.80116671	2.51E-43	6.35E-41	CMPK2
ENSG00000180644	205.0013167	2.090417791	0.154261685	13.55111473	7.80E-42	1.90E-39	PRF1
ENSG00000137965	29.74967288	3.801934701	0.28140055	13.51075791	1.35E-41	3.16E-39	IFI44
ENSG00000122643	26.87226289	3.273856565	0.243702567	13.43382057	3.83E-41	8.63E-39	NT5C3A
ENSG00000163644	32.15528726	2.551608333	0.194512173	13.11798791	2.60E-39	5.64E-37	PPM1K
ENSG00000135114	93.77781754	2.009490805	0.153502273	13.09095147	3.71E-39	7.78E-37	OASL
ENSG00000117228	24.62343873	3.672861704	0.282424262	13.00476692	1.15E-38	2.33E-36	GBP1
ENSG00000130303	107.0554221	2.044538996	0.160614723	12.72946193	4.06E-37	7.96E-35	BST2
ENSG00000068079	52.61060057	2.79144669	0.219666494	12.70765803	5.36E-37	1.02E-34	IFI35
ENSG00000163565	56.37256404	1.647656299	0.130631515	12.61300764	1.79E-36	3.30E-34	IFI16
ENSG00000055332	39.27353492	2.904526296	0.232950659	12.46841844	1.11E-35	1.99E-33	EIF2AK2
