gene	fold change
FHOD1	-0.755383276
ZFP36L1	-0.136923792
PER1	-0.527324103
ATP2B1	-0.402195937
ATP2A3	-0.620664869
ABL2	0.340399647
NPRL2	-0.511555746
RPS6KA1	-0.747166969
MBOAT1	0.130201304
WDR47	0.234861577
KIF2A	-0.242328585
RHBDD2	-0.406679181
NPC2	0.104729791
MRPS5	-0.287190759
BCKDHB	0.24907117
C4orf27	-0.158755139
BBS7	0.251639418
ZMYND8	-0.463587282
NKD1	-0.048141081
KAT2A	0.263798673
NT5DC1	-0.365682186
DGKE	-0.083029653
EZR	-0.262032513
FBXO34	-0.228532963
PECR	-0.299346636
P2RX7	-0.01334704
RNF5P1	-0.45744601
KSR1	0.358972731
PMS1	-0.149167036
RASGEF1B	0.262083202
FAM102B	-0.159641264
SMPD1	-0.540408904
SIK1	-0.178445167
ARRB1	-0.346897984
MIDN	-0.053455397
GSTM4	-0.44306493
C9orf131	0.133533456
EPB41L2	-0.071320135
NUP43	-0.055092631
SIK2	-0.276036595
CTSH	0.224005303
CREB3L2	-0.320746147
MAP4K2	-0.830015662
MAP3K2	-0.052422572
TMEM14A	-0.20217384
GSPT2	-0.049599758
CCNL1	0.127757982
DSE	-0.192630359
CPEB2	0.502142109
MAPK3	-0.431165279
PRCP	-0.097818513
BTG2	0.001686049
ARHGAP9	-0.198638053
YIPF5	-0.236162338
RDH11	-0.138368327
HSN2	-0.430432295
PJA2	-0.197282805
PEX5	0.002043608
PMEPA1	-0.314939134
GADD45B	0.502740833
REEP4	-0.670080785
BACH2	-0.100326574
CD27	-0.677170635
ZNF295	-0.222111711
MAP4K5	-0.048946523
MTMR6	-0.252153669
ANO9	0.004423002
INTS6	-0.015705271
SIT1	-0.553648342
GBAP1	-0.875647966
RAB1B	-0.315046234
GLIPR2	0.284106896
PRDX5	-0.729546962
ZNF93	-0.017894729
PDE6D	-0.070967532
HSD17B4	-0.316369131
LOC729724	0.680234646
SLC25A20	0.069287846
MIR27A	0.068052057
LRRC28	-0.149846727
ANXA6	0.021006501
HTATIP2	-0.128379239
LARS	0.112741682
RNFT1	-0.350349396
MAFK	0.229058772
ARHGDIB	-0.23108386
TECR	-0.287551018
FANCE	-0.153530811
OSBPL8	-0.362430702
HIVEP1	0.238672213
CD44	-0.006892206
ZNF826	-0.141652191
CHMP1B	0.054221814
MAGED1	-0.17149445
ZFP36	-0.212753296
LMNA	-0.164399975
PTER	0.073331284
CCDC77	0.04944015
SLC25A40	-0.106344282
C7orf54	0.049738537
USP5	-0.191546817
GLB1	-0.382917966
LOC400464	-0.410833418
GNG10	-0.064599871
BIRC3	-0.034991255
ANXA1	0.395416254
ZNFX1	0.694801278
MT1F	0.045543611
C2orf44	-0.259582309
PPP1CA	-0.607355228
TBC1D5	0.130021874
FIG4	-0.077967721
CDKN1A	0.256244546
EBI3	0.214883387
MAPRE3	-0.294975978
ESYT1	-0.881203401
DHX40	-0.516444515
HIPK1	-0.242478385
HCST	-0.269031687
TSPYL2	-0.126003335
IFRD1	-0.324728355
BCKDHA	-0.068981611
C6orf115	-0.204249001
CEP152	-0.06429424
CRYZ	-0.257974584
RNF170	0.07293448
SCRN3	0.430520864
ADAMTSL4	0.03850102
C10orf57	-0.368176787
PLXNA1	-0.377085023
HDAC3	-0.320013153
NDUFB10	-0.100467546
ULK4	0.066762305
RSRC1	-0.139879568
CORO1A	-0.478862692
CTSW	-0.086067968
PCM1	-0.363964152
PCYOX1	-0.781410442
SERPINB9	0.462687464
SQRDL	0.735128896
CDK17	0.198696257
FCER1G	-0.156879296
IDH1	-0.313709668
TRPS1	0.099261848
CHKA	-0.136570237
GM2A	-0.007699361
PFKFB3	-0.221025437
TMEM68	0.075031782
RAD50	0.215906738
UCP2	-0.677841206
LYRM7	-0.083061653
ZNF485	-0.018220875
CTSL1	-0.00178327
LRRC16A	0.533279679
METTL5	-0.16063767
TES	-0.415037155
ALAS1	-0.206691162
JMJD1C	0.095870074
ITM2A	-0.177072601
DUSP10	-0.0304979
TM2D3	-0.07452379
CDC27	0.574486181
DEXI	-0.450979678
ATAD3A	-0.379122714
SKI	-0.313176177
CHIC2	-0.327724567
LRRFIP1	-0.354724911
CASS4	-0.050683432
LOC100129884	0.150776735
NCF2	0.262876125
PLCB2	-0.063811927
LOC100132426	0.20124851
ZNF749	-0.209311597
RPA2	0.28032691
TAGAP	-0.046247496
PPIL4	-0.16175083
SLC10A7	0.138515494
RAG1AP1	-0.37172252
DAAM1	0.113816044
B3GALTL	-0.311148239
WASF1	-0.004942809
PDP1	-0.487200666
NUDCD2	0.368760015
MLLT11	-0.046234681
TNFAIP8	0.199713758
PRDM2	-0.307469395
COPZ1	-0.07576461
JKAMP	-0.43157743
SKAP1	-0.353849237
AIM1	-0.02150537
LCK	-0.581203046
ICAM3	-0.058587121
CPSF2	-0.190432193
CCNH	-0.225590642
TOB1	-0.296397488
ZNF410	-0.133610639
LOC642838	0.159348334
CYB5B	-0.358754201
HSPA1B	-0.024333371
THYN1	-0.557997827
SPAG9	-0.195455453
TADA2A	0.035660993
JUND	-0.016592147
APOBEC3C	-0.332574858
FRRS1	0.496475113
MLX	-0.315721734
CD151	-0.257870205
IL8	-0.013463688
C5orf32	-0.202092218
GLB1L3	-0.447188046
HEG1	-0.042317294
DNMT1	0.002845379
SIRPG	-0.530815897
KLF11	0.164664429
MDN1	-0.151704911
CPNE8	0.276970533
BMPR1A	0.114402196
PAFAH1B2	-0.087480344
SIGMAR1	-0.207846712
ERMN	0.262525817
NEU1	-0.547245119
OSGEPL1	0.161367853
ZDHHC16	-0.163545509
SLC25A13	-0.378801415
PKIA	0.165879303
