	Repeatability	Repeatability SE	Repeatability r^2	Fixed r^2	Fixed r^2 SE	SNP r^2	SNP r^2 SE	cis Heritability	cis Heritability SE
XCL2	0.972770214	0.005849996	0.973261799	-0.000453292	0.001095859	0.014203433	0.000333831	0.205672	0.109967
FGL2	0.967100917	0.002404073	0.791683669	0.031872637	0.003927245	0.631490663	0.001148999	0.572105	0.094973
IL17F	0.932150109	0.008368875	0.739975112	0.013308624	0.000915005	0.067775101	0.001291047	-0.107613	0.001964
IFNG	0.915345915	0.019335781	0.753652082	0.06710493	0.000948978	0.00458241	0.000245603	-0.096422	0.033808
BATF	0.91332297	0.010086824	0.570100455	0.011503566	0.002475002	5.89E-05	3.00E-05	0.13075	0.100267
IL4	0.902175429	0.019161855	0.701069921	0.001717599	0.000856431	0.017994194	0.0002259	0.018741	0.057936
CCL20	0.899629443	0.014312312	0.817714338	0.017532773	0.001348015	0.068455575	0.000514065	0.133441	0.09879
IL3	0.891162067	0.01474223	0.723813537	-0.024048563	0.001720383	0.049147478	0.001353733	0.026288	0.048217
IER3	0.888410483	0.021252443	0.225596619	0.190093557	0.001307879	0.060044458	0.000710968	0.014081	0.051306
IFIT2	0.885583258	0.010444428	0.764439768	0.031760802	0.002064079	0.612513973	0.002032331	0.629964	0.090286
GNLY	0.881607736	0.018267433	0.92297358	0.059828411	0.001385924	0.159077215	0.001933339	0.230074	0.104261
TNF	0.878117585	0.012048599	0.634189538	0.068130144	0.002007108	0.003383944	0.000235921	-0.01778	0.034891
SEMA7A	0.874258232	0.014237764	0.594514508	0.085208516	0.001795217	0.045134653	0.001087491	-0.012259	0.036893
PML	0.868379605	0.022728976	0.667898125	0.087012432	0.00399837	0.026273663	0.000937204	-0.032106	0.022951
CCL4	0.865689775	0.035145986	0.842320274	0.064769765	0.003021298	0.019548019	0.000661805	-0.008964	0.065201
IL2RA	0.862195594	0.032947468	0.502818835	0.05912962	0.003055	0.011232448	0.000605299	-0.036475	0.087504
IL22	0.844794696	0.027991973	0.290971393	0.021889401	0.001411136	0.003811096	0.000114702	0.102579	0.10156
IL2	0.842835076	0.029889028	0.547035516	0.103730695	0.001335105	0.057280567	0.00078233	-0.010021	0.045242
IL9	0.837361201	0.026068676	0.366047657	0.011520967	0.000715167	0.056167986	0.000619267	0.099372	0.088957
POLR2A	0.830436772	0.032494974	0.576404461	0.081656166	0.002697188	0.011892628	0.000505785	0.013031	0.077884
AREG	0.815726381	0.024564337	0.596196349	0.065800449	0.002244735	0.032454201	0.00061689	0.136674	0.089256
GSTM3	0.814717832	0.029373653	0.583109197	0.017904905	0.002901007	0.201387469	0.003058427	0.309497	0.115289
IFIH1	0.814258956	0.042281224	0.259521315	0.053251882	0.00310673	0.003482408	0.00011799	0.018797	0.054156
STAT1	0.812612605	0.023847907	0.097011921	0.02597316	0.002419077	8.60E-05	1.14E-05	-0.035653	0.037259
EIF5A	0.810223037	0.029064102	0.276663759	0.155629219	0.002365951	0.015245388	0.000185648	-0.038112	0.063102
ISG20	0.804933312	0.026553282	0.577696295	0.099330375	0.003886737	0.019883879	0.000750694	0.073344	0.089914
RORC	0.799482775	0.035797634	0.699631517	0.067777094	0.005279599	0.002252314	0.000106985	-0.025347	0.031772
CCR6	0.798572534	0.063210977	0.589398593	0.098273974	0.001837729	0.003932212	0.000201967	-0.091475	0.046485
CFL2	0.795504454	0.045385267	0.521403594	-0.00052924	0.002268553	0.07903777	0.000691576	0.454502	0.112288
ACTB	0.782140851	0.045963945	0.695115126	0.050663822	0.00193707	0.004018478	0.00057005	-0.018021	0.065974
OASL	0.780749183	0.023835768	0.647404477	0.172314374	0.003040483	0.001401248	0.000169681	-0.025661	0.043317
SLAMF7	0.777428835	0.036326783	0.606285326	0.066879407	0.002361585	0.000802714	2.60E-05	-0.032848	0.069266
APOBEC3G	0.773985942	0.032397619	0.795405979	0.111229756	0.004682225	0.007454742	0.000390009	-0.032064	0.039568
KLRG1	0.77043305	0.028226978	0.712943176	0.038686606	0.004062138	0.1109134	0.001453992	0.351423	0.112177
NR4A3	0.768001846	0.031694835	0.376810172	0.128689586	0.002760802	0.000501975	7.37E-05	-0.039147	0.034123
