	Repeatability	Repeatability SE	Fixed r^2	Fixed r^2 SE	cis Heritability	cis Heritability SE
CYLD	0	0	2.87E-06	1.13E-05	0.020296	0.052091
IRF3	0	0	5.36E-06	2.82E-05	0.047278	0.061898
IFRD1	4.56E-05	0.000474298	3.34E-06	5.57E-06	0.388645	0.10429
TAB2	0.003009121	0.004681888	5.03E-06	1.63E-05	0.240592	0.099425
IL12A	0.016655325	0.012052397	1.63E-06	7.67E-06	0.173944	0.09706
CD19	0.029637188	0.011053838	2.08E-06	9.18E-06	0.112821	0.07837
LIFR	0.032118511	0.012649565	1.81E-06	9.46E-06	-0.068104	0.050052
EDN1	0.03279961	0.011968433	1.91E-06	7.89E-06	-0.017542	0.057987
DNAH7	0.032925691	0.012691734	1.85E-06	9.42E-06	0.110794	0.095128
TMED7	0.033483878	0.006548784	3.25E-06	5.76E-06	-0.01553	0.062627
IL6	0.03661945	0.057204404	3.62E-05	0.000358888	-0.060845	0.048583
GCNT4	0.036937036	0.013296185	2.12E-06	9.06E-06	0.084363	0.088448
RELA	0.04033617	0.006696195	4.80E-06	1.42E-05	0.467133	0.103657
GEM	0.040780278	0.009989469	2.98E-06	6.70E-06	0.171568	0.091421
IRAK1	0.042090127	0.006722804	2.81E-06	4.34E-06	-0.004134	0.062641
IL29	0.044438245	0.00512817	1.13E-05	0.000103909	0.095986	0.084088
TWIST1	0.048986813	0.016792794	1.82E-06	8.91E-06	0.091218	0.098266
IFNGR1	0.05062503	0.008247409	4.95E-06	6.07E-06	-0.015316	0.046071
C15orf26	0.052491747	0.018022663	1.88E-06	7.96E-06	0.155597	0.096489
LPIN2	0.052689195	0.006739459	6.31E-06	2.04E-05	0.132078	0.122511
NRG4	0.053417419	0.013230561	2.23E-06	1.02E-05		
ZNF513	0.053458513	0.007977336	4.86E-06	1.23E-05	0.089167	0.083339
MGC39372	0.054542081	0.006051168	5.47E-06	1.96E-05	0.097907	0.091616
C19orf12	0.056622586	0.00774782	6.26E-06	2.72E-05	0.055886	0.071818
HMGB3	0.057818443	0.009429986	3.64E-06	9.17E-06	-0.00782	0.091622
RNF122	0.059002988	0.00787195	2.20E-06	5.46E-06	0.191611	0.113277
ATG4C	0.061523342	0.007746932	5.54E-06	1.19E-05	0.096132	0.085251
FHAD1	0.06352319	0.017920673	1.79E-06	8.61E-06	-0.021564	0.004118
ARL5B	0.065192839	0.006712355	1.11E-05	7.60E-05	0.056099	0.072192
MAP3K7	0.067970269	0.005526724	3.32E-06	6.56E-06	-0.107769	0.018888
SEMA3D	0.068946305	0.012870417	6.13E-06	2.82E-05	0.0123	0.084107
IRG1	0.069226777	0.008723477	2.91E-05	0.000289262	0.020875	0.060978
CCL1	0.071468348	0.008136514	2.19E-06	4.44E-06	0.087983	0.083082
MAU2	0.073813096	0.00656991	4.43E-06	6.49E-06	0.029778	0.079249
AIM2	0.076798683	0.015420073	3.98E-06	1.35E-05	0.037523	0.059194
ANO5	0.077025987	0.023394168	1.98E-06	7.18E-06	-0.059541	0.074121
DKK1	0.077490564	0.014135237	2.69E-06	1.04E-05	-0.099064	0.021805
TAB1	0.079777679	0.006075749	5.09E-06	1.47E-05	0.167591	0.096634
LIPH	0.080574703	0.021167683	1.82E-06	8.29E-06	0.052114	0.093933
DEPDC7	0.081086631	0.011095584	2.47E-06	4.74E-06	0.258315	0.107493
LOC388022	0.084997638	0.00628659	7.46E-06	3.22E-05	0.003128	0.048287
TLR6	0.086417733	0.012927086	4.97E-06	1.13E-05	0.069566	0.079762
HLTF	0.086576636	0.008845112	1.93E-06	3.46E-06	-0.013705	0.045194
AXL	0.087307924	0.021706886	2.19E-06	6.74E-06	0.465154	0.109831
IL28B	0.094543496	0.013960411	3.61E-06	2.35E-05		
PAPD5	0.095026289	0.008424368	3.87E-06	1.47E-05	0.045307	0.06095
MAMLD1	0.09771294	0.010066718	8.62E-06	5.04E-05	-0.02066	0.032658
IFNB1	0.097847749	0.010312543	9.21E-06	7.32E-05	0.142772	0.100799
ECSIT	0.102567491	0.011947504	6.26E-06	2.74E-05	-0.090327	0.046353
IFNA4	0.10287758	0.007740597	7.95E-06	4.88E-05	0.122499	0.090562
GYPA	0.107110236	0.009482211	9.83E-06	6.38E-05	0.157211	0.090287
IFNGR2	0.109835251	0.009888997	3.62E-06	8.07E-06	-0.040248	0.074306
PI4K2B	0.11025502	0.007287088	4.58E-06	1.68E-05	0.026891	0.091199
