	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000119917	624.0684129	5.059491836	0.190039594	26.62335644	3.64E-156	3.18E-152	IFIT3
ENSG00000172183	1083.060667	4.400214893	0.172365686	25.52836938	9.55E-144	4.16E-140	ISG20
ENSG00000138385	126.8888599	2.585526693	0.107420343	24.0692463	5.25E-128	1.53E-124	SSB
ENSG00000169248	406.5084276	8.075650705	0.34735	23.24931828	1.45E-119	3.15E-116	CXCL11
ENSG00000089127	274.9675435	2.785547022	0.125435341	22.20703515	2.94E-109	5.12E-106	OAS1
ENSG00000122643	86.74661673	4.493804152	0.204666408	21.95672555	7.47E-107	1.09E-103	NT5C3A
ENSG00000107201	91.67094484	4.16611255	0.190476779	21.87202326	4.80E-106	5.98E-103	DDX58
ENSG00000177409	123.6461935	3.152069717	0.147162307	21.41900185	8.89E-102	9.69E-99	SAMD9L
ENSG00000119922	390.0872654	5.286185995	0.24698234	21.40309305	1.25E-101	1.21E-98	IFIT2
ENSG00000138646	74.93647522	4.501767662	0.212839399	21.15100717	2.70E-99	2.36E-96	HERC5
ENSG00000134321	338.8609971	5.99800446	0.285885783	20.9804223	9.90E-98	7.85E-95	RSAD2
ENSG00000068079	137.9128177	2.987396142	0.143047206	20.88398806	7.49E-97	5.44E-94	IFI35
ENSG00000205413	85.09418657	3.021831198	0.151190137	19.98695985	7.15E-89	4.80E-86	SAMD9
ENSG00000188313	282.5787244	2.492664429	0.126418549	19.71755294	1.52E-86	9.50E-84	PLSCR1
ENSG00000187608	4867.171182	6.044206982	0.306850424	19.69756765	2.26E-86	1.32E-83	ISG15
ENSG00000156587	254.815881	2.083093749	0.105923149	19.66608586	4.21E-86	2.30E-83	UBE2L6
ENSG00000101608	427.0026088	1.627654222	0.083225971	19.55704687	3.59E-85	1.84E-82	MYL12A
ENSG00000135114	198.1726272	4.405743397	0.230585009	19.10680756	2.22E-81	1.07E-78	OASL
ENSG00000163565	70.29117149	2.691655556	0.14755649	18.24152607	2.42E-74	1.11E-71	IFI16
ENSG00000115267	64.08294904	3.47740687	0.192081878	18.10377378	2.98E-73	1.30E-70	IFIH1
ENSG00000125826	74.44386222	2.355356473	0.130467714	18.05317502	7.45E-73	3.09E-70	RBCK1
ENSG00000146425	290.4274848	2.38915145	0.133021265	17.96067308	3.96E-72	1.57E-69	DYNLT1
ENSG00000130303	277.2749073	2.046126623	0.115542007	17.70894129	3.58E-70	1.36E-67	BST2
ENSG00000185507	308.6771109	3.195200149	0.181395005	17.61459835	1.90E-69	6.92E-67	IRF7
ENSG00000196141	43.12885765	3.622558194	0.207101263	17.49172432	1.66E-68	5.78E-66	SPATS2L
ENSG00000185201	304.49502	2.416349786	0.138447381	17.45319966	3.25E-68	1.09E-65	IFITM2
ENSG00000041357	203.6386906	1.811151554	0.104664791	17.30430586	4.37E-67	1.41E-64	PSMA4
