	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000172183	391.3836284	3.323111181	0.078814183	42.16387281	0	0	ISG20
ENSG00000187608	481.7387499	4.65045315	0.137187717	33.89846598	7.02E-252	2.08E-248	ISG15
ENSG00000126709	204.0519693	5.064934517	0.185091134	27.36454412	7.25E-165	1.44E-161	IFI6
ENSG00000125148	69.54625529	4.202569208	0.168932303	24.8772386	1.31E-136	1.95E-133	MT2A
ENSG00000157601	105.5524873	4.792537064	0.197590049	24.2549515	5.86E-130	6.96E-127	MX1
ENSG00000185745	111.7450811	5.513829523	0.242463329	22.74088019	1.77E-114	1.75E-111	IFIT1
ENSG00000119917	128.4362545	5.445504034	0.253257058	21.50188461	1.49E-102	1.27E-99	IFIT3
ENSG00000119922	61.94030333	4.591436083	0.215232375	21.33246027	5.67E-101	4.21E-98	IFIT2
ENSG00000188313	61.67809162	3.868227592	0.208523984	18.55051644	8.08E-77	5.33E-74	PLSCR1
ENSG00000205413	52.26679413	2.670982811	0.146519263	18.22956758	3.01E-74	1.79E-71	SAMD9
ENSG00000160932	134.6282875	3.340713685	0.187236935	17.8421725	3.33E-71	1.80E-68	LY6E
ENSG00000177409	33.65473658	3.569024153	0.207390423	17.20920423	2.27E-66	1.12E-63	SAMD9L
ENSG00000185507	56.84947875	3.329995184	0.200532327	16.60577738	6.33E-62	2.89E-59	IRF7
ENSG00000156587	71.97317266	2.313676002	0.141238511	16.38133948	2.60E-60	1.10E-57	UBE2L6
ENSG00000138646	35.52785627	3.042726587	0.186372378	16.3260598	6.44E-60	2.55E-57	HERC5
ENSG00000130066	137.9764648	2.711327346	0.170145588	15.93533739	3.60E-57	1.34E-54	SAT1
ENSG00000133106	33.04166571	3.630004062	0.232471137	15.61485914	5.77E-55	2.02E-52	EPSTI1
ENSG00000055332	35.56604169	3.014661737	0.195585336	15.4135366	1.33E-53	4.38E-51	EIF2AK2
ENSG00000121858	49.3997119	2.961044064	0.192272846	15.40021967	1.63E-53	5.10E-51	TNFSF10
ENSG00000068079	34.87092141	3.030164431	0.197418804	15.34891498	3.60E-53	1.07E-50	IFI35
ENSG00000132274	30.33130327	2.876998793	0.193384834	14.87706523	4.64E-50	1.31E-47	TRIM22
ENSG00000134326	21.36340223	4.510667238	0.306861519	14.69935773	6.51E-49	1.76E-46	CMPK2
ENSG00000130303	66.13684392	2.158391837	0.153942493	14.02076709	1.16E-44	3.00E-42	BST2
ENSG00000137965	24.76362124	3.049026785	0.221469808	13.76723454	4.01E-43	9.93E-41	IFI44
ENSG00000100911	99.22703089	1.460211698	0.10743112	13.59207368	4.46E-42	1.06E-39	PSME2
ENSG00000183486	25.99635571	3.640148018	0.270144489	13.47481874	2.20E-41	5.03E-39	MX2
ENSG00000163644	29.24027852	2.457002873	0.186413669	13.18037933	1.14E-39	2.50E-37	PPM1K
ENSG00000137959	38.18600724	4.379639142	0.335267965	13.06310057	5.35E-39	1.14E-36	IFI44L
ENSG00000132530	20.47904057	3.014250965	0.235281311	12.8112639	1.42E-37	2.90E-35	XAF1
ENSG00000117228	27.7642388	3.303957435	0.258314059	12.79046695	1.85E-37	3.67E-35	GBP1
ENSG00000122643	20.536173	2.716678672	0.217477392	12.49177511	8.28E-36	1.59E-33	NT5C3A
ENSG00000115415	17.69156659	3.536312096	0.28514555	12.40177902	2.56E-35	4.74E-33	STAT1
ENSG00000002549	26.52571145	2.58024079	0.208489097	12.37590275	3.53E-35	6.35E-33	LAP3
ENSG00000138496	14.88156415	3.217948388	0.262081821	12.2784113	1.18E-34	2.07E-32	PARP9
ENSG00000067066	47.01767749	1.69428229	0.138288359	12.251807	1.64E-34	2.79E-32	SP100
ENSG00000146425	46.41550182	1.943829601	0.161946804	12.00288958	3.43E-33	5.66E-31	DYNLT1
ENSG00000025708	24.87616503	2.396681892	0.204665006	11.71026715	1.13E-31	1.81E-29	TYMP
ENSG00000123609	31.75958081	1.951574981	0.167432368	11.65590023	2.14E-31	3.35E-29	NMI
ENSG00000169245	25.068375	5.799047391	0.5013083	11.56782641	6.00E-31	9.14E-29	CXCL10
ENSG00000089692	43.23253091	3.700805783	0.32552303	11.36879865	5.98E-30	8.88E-28	LAG3
ENSG00000213689	13.96320752	2.952097585	0.259905728	11.35833985	6.74E-30	9.77E-28	TREX1
ENSG00000185338	53.59783589	1.491746011	0.131474	11.34631954	7.74E-30	1.09E-27	SOCS1
ENSG00000125826	25.45580625	2.018857812	0.179353118	11.25632959	2.16E-29	2.98E-27	RBCK1
ENSG00000175550	72.92251904	1.478402765	0.131814381	11.21579263	3.41E-29	4.61E-27	DRAP1
ENSG00000107201	20.97054232	3.032489342	0.273007567	11.10771169	1.15E-28	1.52E-26	DDX58
ENSG00000111331	12.23195212	4.049770519	0.365791434	11.07125574	1.73E-28	2.23E-26	OAS3
ENSG00000173821	24.39840031	2.086357433	0.188656009	11.05905637	1.98E-28	2.50E-26	RNF213
ENSG00000180644	68.12787582	2.012730063	0.189112473	10.64303182	1.88E-26	2.33E-24	PRF1
ENSG00000013374	20.82473414	2.028605134	0.191635576	10.58574391	3.47E-26	4.21E-24	NUB1
ENSG00000163565	49.04865698	2.022306707	0.192489587	10.50605768	8.10E-26	9.62E-24	IFI16
ENSG00000136514	18.18277208	2.850535047	0.275402636	10.35042762	4.17E-25	4.85E-23	RTP4
ENSG00000101608	141.1119116	1.24374649	0.120761292	10.29921485	7.10E-25	8.11E-23	MYL12A
ENSG00000111335	12.99231101	3.353273224	0.326374595	10.27430833	9.20E-25	1.03E-22	OAS2
ENSG00000134321	44.55787282	4.679370247	0.457766823	10.22216992	1.58E-24	1.74E-22	RSAD2
ENSG00000152558	42.82442253	1.441984288	0.141621916	10.18192894	2.39E-24	2.58E-22	TMEM123
ENSG00000196141	11.39920096	3.019658526	0.299711284	10.07522468	7.11E-24	7.54E-22	SPATS2L
ENSG00000115267	12.2582828	3.368726223	0.33502516	10.05514399	8.72E-24	9.09E-22	IFIH1
ENSG00000130813	22.52221515	1.875305603	0.191338396	9.800989465	1.11E-22	1.14E-20	C19orf66
ENSG00000173193	16.81744214	2.297404048	0.241234294	9.523538326	1.67E-21	1.69E-19	PARP14
ENSG00000185885	17.09328396	2.223026485	0.238171916	9.333705355	1.02E-20	1.01E-18	IFITM1
ENSG00000122417	19.69914722	1.961204751	0.210471504	9.318148609	1.18E-20	1.15E-18	ODF2L
ENSG00000108700	6.041192577	4.927854074	0.529413634	9.308135939	1.30E-20	1.25E-18	CCL8
ENSG00000138642	8.308315378	2.954876543	0.320884293	9.208542167	3.31E-20	3.12E-18	HERC6
ENSG00000130589	9.57952758	2.971860916	0.324216997	9.166271166	4.90E-20	4.54E-18	HELZ2
ENSG00000136147	20.92335853	2.046211216	0.22340063	9.159379779	5.22E-20	4.77E-18	PHF11
ENSG00000137752	26.50285506	1.746823157	0.191181112	9.13700698	6.42E-20	5.78E-18	CASP1
ENSG00000142089	21.76487918	3.828921533	0.421117304	9.092292098	9.70E-20	8.60E-18	IFITM3
ENSG00000168394	39.05209868	1.302660512	0.144321768	9.026084769	1.78E-19	1.53E-17	TAP1
ENSG00000185201	57.33898651	1.464018397	0.164332087	8.908901613	5.15E-19	4.37E-17	IFITM2
ENSG00000162654	15.16882332	2.026574151	0.228901788	8.853465803	8.48E-19	7.10E-17	GBP4
ENSG00000138035	10.14959423	2.666920594	0.305856714	8.719509724	2.79E-18	2.31E-16	PNPT1
ENSG00000135535	36.67300229	1.258674839	0.149649359	8.410826821	4.07E-17	3.27E-15	CD164
ENSG00000181381	10.26381133	2.722018656	0.324785116	8.38098338	5.25E-17	4.16E-15	DDX60L
ENSG00000204397	34.49143841	2.059225003	0.251562437	8.185741206	2.71E-16	2.12E-14	CARD16
ENSG00000168961	6.01717952	3.997537857	0.49206905	8.123936786	4.51E-16	3.48E-14	LGALS9
ENSG00000101596	27.06374608	1.603003351	0.203418046	7.88033995	3.26E-15	2.49E-13	SMCHD1
ENSG00000086065	28.04703117	1.404852551	0.181529001	7.738997876	1.00E-14	7.53E-13	CHMP5
ENSG00000128383	4.985085179	3.845964808	0.505852588	7.602935919	2.89E-14	2.15E-12	APOBEC3A
ENSG00000240065	136.3940771	1.061278099	0.139634551	7.600397563	2.95E-14	2.16E-12	PSMB9
ENSG00000108771	5.25578461	3.211131892	0.426700512	7.52549342	5.25E-14	3.80E-12	DHX58
ENSG00000089127	60.28825148	3.35570931	0.446025362	7.523584066	5.33E-14	3.81E-12	OAS1
ENSG00000086061	54.87624699	1.004207496	0.13620699	7.372657577	1.67E-13	1.18E-11	DNAJA1
ENSG00000069493	49.25125441	1.192274896	0.161803356	7.368666065	1.72E-13	1.20E-11	CLEC2D
ENSG00000146859	7.434460196	2.095833538	0.285351069	7.344754479	2.06E-13	1.42E-11	TMEM140
ENSG00000108691	6.629016107	2.524367943	0.34445337	7.328620251	2.33E-13	1.59E-11	CCL2
ENSG00000034510	247.1154738	1.214264599	0.166455264	7.2948405	2.99E-13	1.97E-11	TMSB10
ENSG00000162614	5.037829986	3.852007902	0.532225185	7.237552844	4.57E-13	2.98E-11	NEXN
ENSG00000152778	8.033392317	2.279129117	0.317327879	7.18225301	6.86E-13	4.43E-11	IFIT5
ENSG00000135114	104.0635465	1.752342051	0.245297918	7.143729814	9.08E-13	5.80E-11	OASL
ENSG00000114127	20.61999187	1.731907668	0.243189737	7.121631394	1.07E-12	6.74E-11	XRN1
ENSG00000196684	9.817669839	2.198579716	0.311132922	7.066367973	1.59E-12	9.84E-11	HSH2D
ENSG00000054654	25.34602685	1.171056586	0.168668619	6.942942891	3.84E-12	2.35E-10	SYNE2
ENSG00000059378	9.174375208	1.87050382	0.269523183	6.940047981	3.92E-12	2.38E-10	PARP12
ENSG00000159335	6.111799871	2.437146912	0.356170067	6.842649448	7.77E-12	4.66E-10	PTMS
ENSG00000116663	7.148502332	2.411320687	0.35385291	6.814471832	9.46E-12	5.56E-10	FBXO6
ENSG00000132109	4.367592971	2.746130239	0.405557268	6.771251457	1.28E-11	7.44E-10	TRIM21
ENSG00000010030	4.324381158	3.273847508	0.487740959	6.712266923	1.92E-11	1.11E-09	ETV7
ENSG00000213928	10.94657739	1.896752366	0.284281183	6.672099602	2.52E-11	1.44E-09	IRF9
ENSG00000197536	32.45984472	1.594850787	0.242443991	6.578223617	4.76E-11	2.67E-09	C5orf56
ENSG00000137628	7.992861489	2.415957037	0.370534418	6.520196015	7.02E-11	3.90E-09	DDX60
ENSG00000078081	2.927489854	3.501582946	0.537244317	6.517673313	7.14E-11	3.93E-09	LAMP3
ENSG00000140105	5.357334146	2.712882923	0.421516888	6.436000553	1.23E-10	6.68E-09	WARS
ENSG00000204264	65.45226809	1.067018212	0.166041152	6.426227486	1.31E-10	7.06E-09	PSMB8
ENSG00000148175	13.11613885	1.624999647	0.254336317	6.389176597	1.67E-10	8.85E-09	STOM
ENSG00000101347	7.944419645	2.049945621	0.323680539	6.333237166	2.40E-10	1.26E-08	SAMHD1
ENSG00000004468	9.263942447	2.523978931	0.398972626	6.326195743	2.51E-10	1.31E-08	CD38
ENSG00000112343	8.816877473	1.642768721	0.26203233	6.269336004	3.63E-10	1.87E-08	TRIM38
ENSG00000102921	9.920160339	1.733175355	0.288591165	6.00564246	1.91E-09	9.59E-08	N4BP1
ENSG00000160593	15.97972446	-1.478200328	0.246201518	-6.004026049	1.92E-09	9.61E-08	AMICA1
ENSG00000154451	7.833006223	2.302302591	0.384040652	5.99494501	2.04E-09	1.01E-07	GBP5
ENSG00000059588	5.371099553	2.189541364	0.367082579	5.964710645	2.45E-09	1.18E-07	TARBP1
ENSG00000101577	9.040738948	1.76062707	0.295157431	5.96504403	2.45E-09	1.18E-07	LPIN2
ENSG00000169248	2.561260025	3.476069554	0.590302022	5.888628911	3.89E-09	1.87E-07	CXCL11
ENSG00000133574	47.05563513	1.03217703	0.175560447	5.879325598	4.12E-09	1.96E-07	GIMAP4
ENSG00000269640	5.275951375	2.266883137	0.389064286	5.826500188	5.66E-09	2.67E-07	CTD-2521M24.9
ENSG00000117091	38.22659285	1.12397823	0.193347715	5.813248067	6.13E-09	2.87E-07	CD48
ENSG00000135899	31.15379106	1.74247631	0.300561014	5.79741293	6.73E-09	3.13E-07	SP110
ENSG00000135655	14.88911522	1.214999866	0.212975463	5.704881919	1.16E-08	5.28E-07	USP15
ENSG00000104518	12.08314484	1.237696811	0.222906968	5.552526328	2.82E-08	1.27E-06	GSDMD
ENSG00000102524	6.273861675	2.413725161	0.439471365	5.492337738	3.97E-08	1.77E-06	TNFSF13B
ENSG00000184557	11.04819752	2.08861759	0.380809534	5.484677783	4.14E-08	1.84E-06	SOCS3
ENSG00000079263	10.88429647	1.882642274	0.343870442	5.474859268	4.38E-08	1.93E-06	SP140
ENSG00000124256	9.073393135	1.919329194	0.350696792	5.472902061	4.43E-08	1.93E-06	ZBP1
ENSG00000180628	10.43392963	1.494189561	0.273315883	5.466896201	4.58E-08	1.99E-06	PCGF5
ENSG00000103966	6.600249875	1.666531741	0.308485989	5.40229313	6.58E-08	2.79E-06	EHD4
ENSG00000186654	3.367194685	2.481916296	0.459984477	5.39565229	6.83E-08	2.86E-06	PRR5
ENSG00000160710	16.42475567	1.334942888	0.248109536	5.380457797	7.43E-08	3.09E-06	ADAR
ENSG00000140464	4.669275341	2.230694716	0.416618324	5.354288535	8.59E-08	3.54E-06	PML
ENSG00000163840	3.831854794	2.145687636	0.40216184	5.335383478	9.53E-08	3.91E-06	DTX3L
ENSG00000111224	4.652338385	1.909963837	0.358061977	5.334171062	9.60E-08	3.91E-06	PARP11
ENSG00000105939	9.201231493	1.372433163	0.25938514	5.29110173	1.22E-07	4.91E-06	ZC3HAV1
ENSG00000107262	14.71669796	1.142355269	0.219163145	5.212351133	1.86E-07	7.43E-06	BAG1
ENSG00000163328	4.741345376	1.872959368	0.360658606	5.193164224	2.07E-07	8.19E-06	GPR155
ENSG00000188404	31.2148367	1.266016396	0.247553369	5.114115	3.15E-07	1.22E-05	SELL
ENSG00000256262	7.058204593	1.407752484	0.278586333	5.053200095	4.34E-07	1.66E-05	USP30-AS1
ENSG00000136689	1.680437526	2.943271836	0.587077025	5.013433863	5.35E-07	2.04E-05	IL1RN
ENSG00000108424	10.60491186	1.449406512	0.29155892	4.971230205	6.65E-07	2.49E-05	KPNB1
ENSG00000108679	4.171401045	2.083815623	0.419809582	4.963716196	6.92E-07	2.57E-05	LGALS3BP
ENSG00000138760	2.960126329	2.209132683	0.449217902	4.917730735	8.76E-07	3.21E-05	SCARB2
ENSG00000123131	9.203566985	1.241500752	0.252680614	4.913320155	8.95E-07	3.26E-05	PRDX4
ENSG00000168310	11.46369572	1.096101624	0.224310918	4.886528186	1.03E-06	3.67E-05	IRF2
ENSG00000221963	3.415247688	1.94428995	0.400030383	4.860355691	1.17E-06	4.12E-05	APOL6
ENSG00000124201	4.739238838	1.850529568	0.383212523	4.828990327	1.37E-06	4.73E-05	ZNFX1
ENSG00000131203	1.554798897	2.817176011	0.587276221	4.7970204	1.61E-06	5.50E-05	IDO1
ENSG00000204267	13.6110575	1.235073177	0.260870067	4.734438066	2.20E-06	7.46E-05	TAP2
ENSG00000136560	13.34619988	1.011226389	0.214122662	4.722649999	2.33E-06	7.86E-05	TANK
ENSG00000163512	6.851516224	1.433722225	0.314546988	4.558054223	5.16E-06	0.000170378	AZI2
ENSG00000155363	3.135418615	1.960625005	0.439585221	4.460170437	8.19E-06	0.000260135	MOV10
ENSG00000178685	5.254616452	1.652565144	0.371917921	4.44335981	8.86E-06	0.000276882	PARP10
ENSG00000108578	7.460905028	1.250728489	0.284578888	4.395015026	1.11E-05	0.000340904	BLMH
ENSG00000129226	5.259321885	1.788298996	0.410752254	4.353716815	1.34E-05	0.000409825	CD68
ENSG00000139921	13.50782419	1.057722013	0.243661934	4.340940724	1.42E-05	0.00043217	TMX1
ENSG00000177272	2.722221256	1.938041535	0.450311575	4.303779072	1.68E-05	0.000506284	KCNA3
ENSG00000106785	5.441162169	1.451411405	0.339660247	4.273127094	1.93E-05	0.000569621	TRIM14
ENSG00000134470	3.675135444	1.868187092	0.437650328	4.268675174	1.97E-05	0.000578231	IL15RA
ENSG00000110848	42.93645893	1.238808141	0.290537254	4.263853001	2.01E-05	0.000587948	CD69
