	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000172183	48.73971611	3.39943504	0.25673477	13.24103875	5.08E-40	2.01E-36	ISG20
ENSG00000126709	24.63069689	4.729285886	0.411285862	11.49878058	1.34E-30	2.64E-27	IFI6
ENSG00000160932	20.11198964	3.73477673	0.337708262	11.0591808	1.98E-28	2.61E-25	LY6E
ENSG00000187608	101.5522042	4.72273018	0.432079813	10.93022641	8.26E-28	8.17E-25	ISG15
ENSG00000119917	24.21175382	5.052054389	0.481616847	10.48977922	9.63E-26	7.61E-23	IFIT3
ENSG00000157601	12.90083429	4.998116804	0.554855165	9.007966615	2.10E-19	1.38E-16	MX1
ENSG00000134321	10.42903782	5.65015929	0.73725106	7.663819825	1.80E-14	1.02E-11	RSAD2
ENSG00000121858	11.84628308	4.057294516	0.552837112	7.339041521	2.15E-13	1.06E-10	TNFSF10
ENSG00000133106	7.946588797	4.07340926	0.556957177	7.31368483	2.60E-13	1.14E-10	EPSTI1
ENSG00000169245	30.66831969	5.564708518	0.764814498	7.275893082	3.44E-13	1.36E-10	CXCL10
ENSG00000188313	8.681161343	2.979494563	0.415163723	7.17667368	7.14E-13	2.57E-10	PLSCR1
ENSG00000156587	9.733564681	2.573846699	0.362441617	7.101410475	1.23E-12	4.07E-10	UBE2L6
ENSG00000089127	7.740013379	3.279695818	0.480660802	6.823306173	8.90E-12	2.70E-09	OAS1
ENSG00000137959	6.450226063	3.718666015	0.549067599	6.772692505	1.26E-11	3.57E-09	IFI44L
ENSG00000125148	6.611203492	3.968875048	0.600587291	6.608323402	3.89E-11	1.02E-08	MT2A
ENSG00000135114	7.797273462	3.15573061	0.480512375	6.567428379	5.12E-11	1.26E-08	OASL
ENSG00000185745	20.3780089	4.271929722	0.656406659	6.508053603	7.61E-11	1.77E-08	IFIT1
ENSG00000240065	16.41579856	1.798230174	0.277767747	6.473862403	9.55E-11	2.10E-08	PSMB9
ENSG00000205413	6.687311679	2.67631246	0.42649018	6.275203007	3.49E-10	7.26E-08	SAMD9
ENSG00000142089	12.10924008	3.418210733	0.551324063	6.200002803	5.65E-10	1.12E-07	IFITM3
ENSG00000185507	8.781810582	2.626984654	0.43241254	6.075181476	1.24E-09	2.33E-07	IRF7
ENSG00000055332	5.06353145	3.437905896	0.583054241	5.896374045	3.72E-09	6.67E-07	EIF2AK2
ENSG00000107201	4.483612329	3.844543346	0.657036435	5.851339656	4.88E-09	8.38E-07	DDX58
ENSG00000183486	4.041015134	3.830346286	0.659122142	5.811284497	6.20E-09	1.02E-06	MX2
ENSG00000108700	19.6463042	5.071794482	0.899645659	5.637546771	1.72E-08	2.73E-06	CCL8
ENSG00000134326	4.435075567	3.817926508	0.686341921	5.562717926	2.66E-08	3.89E-06	CMPK2
ENSG00000213689	2.870206797	4.741620781	0.851422815	5.569055348	2.56E-08	3.89E-06	TREX1
ENSG00000185201	6.652611439	2.333542686	0.420217274	5.553181251	2.81E-08	3.96E-06	IFITM2
ENSG00000117228	6.160860921	2.911080756	0.527325452	5.520463211	3.38E-08	4.61E-06	GBP1
ENSG00000137965	3.619474403	3.296805088	0.599006334	5.503790029	3.72E-08	4.90E-06	IFI44
ENSG00000115415	4.509332598	2.643668696	0.481574143	5.489640034	4.03E-08	5.13E-06	STAT1
ENSG00000138646	4.495232325	3.371305646	0.619260896	5.444079658	5.21E-08	6.43E-06	HERC5
ENSG00000146425	8.834610853	2.030768626	0.373721818	5.433904384	5.51E-08	6.60E-06	DYNLT1
ENSG00000177409	5.105110951	3.544971069	0.654435156	5.416840825	6.07E-08	6.93E-06	SAMD9L
ENSG00000100911	14.8268164	1.638352942	0.302573119	5.41473395	6.14E-08	6.93E-06	PSME2
ENSG00000131203	4.321890455	4.756715168	0.883825441	5.381962263	7.37E-08	8.09E-06	IDO1
ENSG00000130066	55.54995169	1.448399687	0.272214637	5.320800178	1.03E-07	1.10E-05	SAT1
ENSG00000163565	6.851409661	2.093501497	0.398008942	5.259935836	1.44E-07	1.50E-05	IFI16
ENSG00000067066	5.96582398	2.020997991	0.399010393	5.065025938	4.08E-07	4.14E-05	SP100
ENSG00000111640	34.62480758	-1.04534994	0.208636225	-5.010395198	5.43E-07	5.37E-05	GAPDH
ENSG00000173193	3.068726407	3.18249938	0.638508478	4.984271141	6.22E-07	5.85E-05	PARP14
ENSG00000163644	3.736232245	2.424995639	0.486343847	4.986175219	6.16E-07	5.85E-05	PPM1K
