	Repeatability	Repeatability SE	Fixed r^2	Fixed r^2 SE	cis Heritability	cis Heritability SE
ABCD2	0	0	2.00E-05	0.000172869	0.03387	0.056918
ABCF1	0	0	2.36E-05	0.000167412	0.13037	0.084826
ABHD10	0	0	2.02E-05	0.000145925	0.214344	0.098062
AMPD2	0	0	1.02E-05	7.55E-05	0.093309	0.089256
ANKRD22	0	0	3.89E-05	0.000353841	0.058049	0.081761
ANKRD28	0	0	2.43E-05	0.000217508	-0.017437	0.062748
APOBEC3A	0	0	9.67E-06	6.31E-05	-0.021646	0.046407
ASPHD2	0	0	2.67E-05	0.000238982	0.216999	0.129126
ATRIP	0	0	1.92E-05	0.000157224	-0.023365	0.002189
BCL2A1	0	0	1.35E-05	0.000117527	-0.025007	0.066511
C15orf26	0	0	2.01E-05	0.000179049	0.059625	0.08597
C17orf48	0	0	2.35E-05	0.000199651	-0.105807	0.057112
C1orf150	0	0	2.21E-05	0.000164841	-0.007372	0.058565
C3	0	0	6.24E-06	3.24E-05	-0.061924	0.061641
C5	0	0	7.87E-06	2.56E-05	0.07692	0.075134
CARD8	0	0	6.29E-06	1.47E-05	0.295102	0.113179
CD19	0	0	3.05E-05	0.000279875	-0.011521	0.033292
CLEC4D	0	0	5.89E-06	2.44E-05	0.21432	0.10395
CLEC5A	0	0	5.02E-06	2.02E-05	0.030908	0.064546
COBLL1	0	0	1.98E-05	0.000171986	-0.062312	0.023148
CYLD	0	0	2.01E-05	0.00015286	-0.039333	0.060401
DEPDC7	0	0	6.18E-06	4.55E-05	-0.009506	0.055857
DKK1	0	0	6.82E-06	5.50E-05		
DNAH7	0	0	1.61E-05	0.000144049	0.055361	0.066946
DUSP6	0	0	1.33E-05	7.86E-05	0.019247	0.053822
ECSIT	0	0	2.60E-05	0.000230902	0.154588	0.088958
EDN1	0	0	2.80E-05	0.00025575	-0.068601	0.044009
EHD1	0	0	1.70E-05	0.000116414	0.109229	0.076458
EIF4E3	0	0	6.66E-06	2.17E-05	0.186562	0.112109
FADD	0	0	2.50E-05	0.000220721	0.212455	0.106636
FBN2	0	0	1.04E-05	7.11E-05	0.259449	0.101159
FCGR1A	0	0	2.06E-05	0.000186938	-0.014329	0.015182
FHAD1	0	0	3.13E-05	0.000287633	-0.026117	0.066458
FRG2	0	0	1.99E-05	0.000179233	-0.030834	0.005792
FRG2B	0	0	6.50E-06	4.87E-05	-0.03489	0.000081
FZD3	0	0	2.37E-05	0.000185661	-0.035719	0.050827
GCNT4	0	0	2.07E-05	0.000186916	0.117325	0.090549
GEM	0	0	2.98E-05	0.00027305	-0.062377	0.027764
GK	0	0	3.60E-05	0.000330957		
GSTM3	0	0	2.67E-05	0.000246056	0.417768	0.109135
GYPA	0	0	1.98E-05	0.000178167	0.090253	0.070218
HARS	0	0	2.04E-05	0.000149736	-0.04248	0.006241
HBEGF	0	0	3.52E-05	0.000314947	0.128434	0.084101
HIST2H2BE	0	0	2.12E-05	0.000167409	0.027237	0.042057
HLTF	0	0	7.26E-06	5.22E-05	0.091103	0.088781
HMGB3	0	0	2.59E-05	0.000231067		
HPS1	0	0	1.30E-05	1.98E-05	0.256603	0.105086
HRH4	0	0	1.18E-05	0.000101053	0.02162	0.068785
IFNA10	0	0	2.48E-05	0.000226085	0.033677	0.067741
IFNA13	0	0	6.72E-06	5.50E-05	-0.030572	0.03827
IFNA14	0	0	1.67E-05	0.000151955	-0.077166	0.00902
IFNA16	0	0	2.47E-05	0.000226926	0.02404	0.064472
IFNA17	0	0	3.03E-05	0.000278566	0.040581	0.069442
IFNA2	0	0	9.41E-06	8.04E-05	0.025449	0.065526
IFNA21	0	0	2.45E-05	0.000223561	0.025288	0.062132
IFNA4	0	0	2.73E-05	0.000249937	-0.005595	0.053911
IFNA5	0	0	2.45E-05	0.000223796	0.103821	0.08367
IFNB1	0	0	6.82E-06	5.51E-05	-0.007988	0.052645
IFNE	0	0	2.11E-05	0.000189008	0.025495	0.062616
IFNGR1	0	0	9.32E-06	2.18E-05	0.004768	0.066273
IFRD1	0	0	1.62E-05	0.000114149	-0.046438	0.027124
IL12A	0	0	1.81E-05	0.000163069	0.055102	0.066084
IL12B	0	0	2.46E-05	0.000221179	0.074126	0.082513
IL12RB1	0	0	1.22E-05	8.95E-05	0.077497	0.092187
IL1F9	0	0	1.10E-05	9.51E-05	0.043366	0.062377
IL23A	0	0	2.30E-05	0.000208825	0.08977	0.073265
IL28A	0	0	1.70E-05	0.000150596	0.032161	0.069514
IL28B	0	0	1.60E-05	0.000143065	0.009988	0.063547
IL29	0	0	2.04E-05	0.000185744	0.049109	0.074021
IL33	0	0	1.81E-05	0.000163055	-0.086595	0.024019
IL7	0	0	1.52E-05	0.000124657	0.004983	0.048715
IRAK4	0	0	7.58E-06	1.74E-05	0.003013	0.051469
IRF3	0	0	1.64E-05	0.000117245	0.02299	0.075166
IRG1	0	0	2.40E-05	0.000214784	-0.017773	0.053222
LHFP	0	0	8.67E-06	6.36E-05	0.396525	0.113192
LIFR	0	0	1.91E-05	0.00017229	-0.107144	0.031577
LIPH	0	0	1.10E-05	9.57E-05	0.028139	0.072999
LOC388022	0	0	6.19E-06	4.17E-05	-0.049565	0.029946
LRRFIP1	0	0	1.98E-05	0.000115052	0.046984	0.086914
LTA	0	0	2.77E-05	0.000247767	-0.026884	0.020741
MAPK3	0	0	1.84E-05	0.000130496	0.146924	0.088569
MED30	0	0	1.36E-05	9.14E-05	-0.110218	0.019099
MEFV	0	0	1.83E-05	0.000147842	-0.02584	0.058691
MGC57346	0	0	3.23E-05	0.000292976	0.091612	0.077036
MUC2	0	0	2.73E-05	0.000249826	0.077195	0.086551
MVK	0	0	2.57E-05	0.000217539	-0.005524	0.049812
NCAM1	0	0	2.61E-05	0.000239048	0.09948	0.091179
NCRNA00152	0	0	5.01E-06	3.65E-05	-0.029141	0.028313
NDP	0	0	6.82E-06	5.47E-05		
NFKBIB	0	0	1.68E-05	9.93E-05	0.192458	0.098999
NIPAL4	0	0	2.07E-05	0.000186814	0.039507	0.067198
NLRX1	0	0	1.54E-05	0.000131532	-0.066344	0.028239
NMI	0	0	8.85E-06	3.68E-05	0.013623	0.054808
NRG4	0	0	6.81E-06	5.50E-05	0.049651	0.059429
OLR1	0	0	2.89E-05	0.000218879	0.241792	0.102738
OVOS	0	0	2.73E-05	0.000250171	0.01414	0.068733
PAPD5	0	0	1.09E-05	8.72E-05	-0.014856	0.070338
PCDHGC5	0	0	2.32E-05	0.000210874	0.019605	0.061853
PDCD1	0	0	2.05E-05	0.000168071	-0.046293	0.014011
PEX16	0	0	6.25E-06	1.98E-05	-0.024673	0.041937
PLAT	0	0	3.05E-05	0.000274955	0.018376	0.055837
PLK2	0	0	1.08E-05	8.89E-05	0.104928	0.090947
RHOH	0	0	1.86E-05	0.000131092	0.170486	0.101449
RNF122	0	0	1.95E-05	0.000161728	0.155135	0.087913
SCG3	0	0	1.84E-05	0.000145023	-0.031448	0.022029
SCN3A	0	0	1.24E-05	0.000108124	-0.039545	0.03062
SEMA3A	0	0	5.25E-06	4.06E-05	-0.075884	0
SEMA3D	0	0	2.37E-05	0.000215549	0.018587	0.049338
SIGLEC9	0	0	2.17E-05	0.000173763	0.093934	0.108619
SSTR2	0	0	1.82E-05	0.000159677	0.021229	0.104298
TIRAP	0	0	5.33E-06	2.72E-05	0.030546	0.08226
TLR5	0	0	7.02E-06	4.39E-05	0.012137	0.058481
TLR9	0	0	1.97E-05	0.0001761	-0.002287	0.021938
TMEM178	0	0	3.54E-05	0.000326922	0.088118	0.077556
TMEM217	0	0	1.89E-05	0.000152672	0.027728	0.081336
TMEM86A	0	0	1.19E-05	8.42E-05	-0.027686	0.061794
TNC	0	0	1.00E-05	8.28E-05	-0.035838	0.06002
TNFRSF10A	0	0	1.56E-05	0.000100951	0.525909	0.105986
