	Repeatability	Repeatability SE	Repeatability r^2	Fixed r^2	Fixed r^2 SE	SNP r^2	SNP r^2 SE	cis Heritability	cis Heritability SE
NKG7	0.928947992	0.009911384	0.940250361	0.057238885	0.001595571	0.008325868	0.000352943	0.010872	0.094866
GNLY	0.914176535	0.012852769	0.95017448	0.019337615	0.000538308	0.187158488	0.0016516	0.201331	0.101163
FLJ45825	0.912614828	0.007916089	0.925425437	0.010820015	0.001241021	0.549978877	0.002168405	0.683149	0.087384
MALT1	0.905560613	0.01227539	0.00056662	-0.013211319	0.001561268	0.022168178	0.000229531	0.078576	0.103257
STAT2	0.895417018	0.015005521	0.313537213	0.032707712	0.000548228	0.011293026	0.000581662	-0.056249	0.020723
PIK3IP1	0.873377842	0.020878725	0.041206261	0.021232296	0.001383627	0.036837588	0.000643238	0.134663	0.088442
ICAM1	0.831160493	0.034023539	0.547148368	0.034565632	0.001459986	0.00869969	0.000404234	0.135208	0.091531
IL7R	0.82808369	0.020343978	0.478973436	0.010165671	0.002264426	0.062994804	0.001162449	0.043086	0.077825
LYZ	0.825958731	0.025062179	0.587437411	-0.00314289	0.001635991	0.010060035	0.000209327	-0.022943	0.061402
CCL4	0.821920632	0.037882013	0.745108279	0.057245193	0.002256378	0.002216704	0.000360596	0.020585	0.074886
TAS2R43	0.814937274	0.037263055	0.692952965	-0.008573565	0.00100826	0.200739759	0.00146242	0.25561	0.112859
TGFB1	0.802854699	0.024821556	0.886036661	0.11536424	0.000692253	0.027075618	0.000614473	0.130427	0.092714
ZBP1	0.800050445	0.029226346	0.528808311	0.038450816	0.001075938	0.000280837	1.52E-05	0.107847	0.121832
GZMB	0.787259979	0.036094757	0.458361195	0.012824748	0.001181859	0.006070046	0.0003039	-0.083873	0.040222
THBS1	0.785372647	0.027980413	0.392605952	0.063594979	0.002607311	0.010147331	0.000317479	0.079368	0.093978
STAT1	0.780811412	0.029804329	0.083751338	0.037816379	0.001402089	0.009226066	0.000212068	-0.064704	0.008185
SLAMF7	0.767261311	0.028792653	0.499212935	0.012854039	0.00063181	0.000181931	6.89E-05	0.081468	0.098272
MX1	0.764813513	0.044761514	0.612735333	-0.021441303	0.000973915	0.128774411	0.000881409	0.214581	0.133584
CCR6	0.761292104	0.054327841	0.497471879	0.046356365	0.001436568	0.123830679	0.001023492	0.188038	0.113755
SAMD3	0.750875524	0.032796323	0.723567718	0.0025364	0.001991869	0.204297983	0.001898426	0.145545	0.102693
IFIH1	0.743882699	0.039030505	0.33272341	-0.027529965	0.000478542	0.011825227	0.000113306	-0.027105	0.035082
GZMK	0.743153843	0.02423272	0.53586259	0.064839219	0.001747293	0.01076556	0.000408517	-0.004936	0.054422
KLRK1	0.734663913	0.035656354	0.504973861	-0.009400708	0.002247341	5.70E-06	7.88E-06	0.08366	0.082226
OASL	0.718350453	0.035798231	0.739329319	0.164231058	0.001140361	0.041932507	0.001220768	-0.022989	0.044554
PLEK	0.715374468	0.045960604	0.385112259	0.062765142	0.00182237	0.000439814	0.000175158	-0.124141	0.02426
ITGA2	0.713589909	0.042592083	0.401281232	-0.004615181	0.000834179	0.055626352	0.000760456	0.035347	0.072343
KYNU	0.712117962	0.032446232	0.482913453	0.029003135	0.001580281	0.029310552	0.00164095	-0.018439	0.056245
CFL2	0.707289255	0.020189293	0.786181047	-0.001433485	0.001439035	0.096693688	0.000620271	0.218135	0.112206
MXRA7	0.695199207	0.034962726	0.672195013	0.00894315	0.001730197	0.144156555	0.0015	0.12641	0.108612
ISG20	0.692633385	0.033041182	0.215864371	0.058374747	0.001816871	0.033415417	0.000880794	-0.06355	0.045456
IFI44L	0.687983202	0.059719452	0.020278254	0.017795941	0.001046419	0.010352425	0.000317076	-0.014188	0.043179
IL1B	0.681733227	0.041410825	0.195061207	0.066361982	0.001394425	0.022515515	0.000472919	-0.02507	0.035009
ISG15	0.68167702	0.057621353	0.555834719	0.069725081	0.001079594	0.035753782	0.001452006	0.100194	0.0808
TXN	0.677419872	0.057270708	0.579730716	0.080976079	0.00184796	0.038615137	0.000908213	-0.060862	0.062581
OAS3	0.673394739	0.035642811	0.163100914	-0.011440652	0.000761258	0.015866285	0.000359479	-0.017477	0.048827
GSTM1	0.650635825	0.025522137	0.477074046	-0.029396872	0.000550776	0.152198589	0.001777722	0.408338	0.115791
HLA.DRA	0.640947486	0.063880305	0.57831539	0.003190249	0.001361413	0.011025258	0.000397651	-0.04358	0.021749
ITGAX	0.638718915	0.055844737	0.454189048	-0.003913819	0.001251054	0.003029939	0.0004317	-0.030014	0.001894
UTS2	0.63736006	0.051457835	0.489690514	-0.00317482	0.000897592	0.178271682	0.001543682	-0.018073	0.061018
OCLN	0.635890716	0.034398811	0.321510867	0.00382961	0.001149649	0.000955491	0.000211965	0.003145	0.040505
RORA	0.634476544	0.05740188	0.173539978	0.014957746	0.001616788	0.013719712	0.000608923	-0.052082	0.072
GPR109A	0.632951023	0.031617547	0.329570128	0.039944231	0.001090372	0.011134685	0.000180094	-0.034977	0.025029
ACTB	0.632068958	0.037417923	0.470298312	0.14817353	0.001953125	4.27E-05	1.80E-05	-0.035601	0.059944
APOBEC3G	0.628554236	0.072455612	0.658324599	0.149823034	0.001889652	0.003154434	0.001355891	-0.068542	0.002642
CCL22	0.627517662	0.055477065	0.367347487	0.015542203	0.000723689	0.008662442	0.000417137	0.015634	0.087393
IRF9	0.626890344	0.072105594	0.061064462	0.020806088	0.003374567	0.012938557	0.000307844	0.086693	0.099161
IFITM1	0.625362207	0.057642886	0.080440443	0.111106345	0.001731874	0.022532563	0.000535225	0.181229	0.097591
NR4A2	0.625051219	0.037122435	0.578316258	0.141332475	0.003489084	0.006471742	0.000442873	-0.020576	0.046907
LTA	0.621287598	0.048715407	0.398430153	0.050439974	0.001639418	0.014367242	0.0003662	0.002308	0.047019
LYN	0.61259442	0.041231421	0.288846538	-0.012425846	0.001235449	0.029870886	0.001055481	0.053033	0.078078
FLT1	0.607860409	0.055370886	0.151176553	0.158660691	0.00108266	0.014768662	0.000780012	0.034203	0.094418
AOAH	0.600365344	0.052053045	0.137864469	0.010193236	0.001164743	0.170175372	0.001996175	0.494277	0.112605
TBX21	0.599585495	0.074200531	0.622415121	0.098337075	0.001981513	0.009098773	0.000361523	-0.035589	0.025781
SCARNA4	0.595631814	0.064442987	0.042852348	0.110912381	0.001935992	0.003262091	0.000130428	-0.014503	0.030924
POLR2A	0.590903889	0.05633824	0.323420761	0.018113421	0.001729397	0.005506235	0.000514945	0.049407	0.087394
CCL2	0.590846156	0.07775512	0.119431722	-0.004281277	0.001304878	0.001654159	0.000197444	0.105564	0.109449
IFIT2	0.590206479	0.066416513	0.120116425	0.015269703	0.000374695	0.471618879	0.001456801	0.527907	0.102197
MIR24.2	0.58417654	0.044256513	0.459625362	-0.02282669	0.002043992	0.014437028	0.000675374	-0.037749	0.069871
EIF5A	0.576161675	0.046630078	0.314267602	0.006471694	0.004144649	3.56E-05	1.96E-05	0.063378	0.092941
IRF4	0.573531387	0.047707639	0.009485049	0.022625237	0.003050679	0.01321354	0.000651103	0.09372	0.100041
PRG4	0.570502398	0.073173592	0.376433744	0.006650868	0.002126146	0.012819736	0.000539732	-0.049385	0.011074
FTSJD2	0.566538173	0.050217887	0.092921875	0.000894728	0.001310847	0.044843538	0.001122665	-0.001957	0.071218
EIF2AK2	0.564535359	0.074901689	0.249760877	-0.013151817	0.000926208	0.034385358	0.000142375	-0.019751	0.069516
BNIP3	0.560828981	0.043196554	0.042886444	-0.008122878	0.001094123	0.005517451	0.000306107	0.110748	0.111155
NLRP2	0.559726162	0.090682904	0.378010498	0.037733334	0.001214354	0.018555796	0.00060943	0.181673	0.130038
MYD88	0.559567911	0.106490522	0.381267442	0.053442484	0.000506334	0.007148631	0.000283719	-0.050836	0.025237
TMEM45B	0.552303774	0.042914288	0.489498877	0.004071062	0.001366142	0.022344595	0.000782964	0.074623	0.096945
JUN	0.548055529	0.069815281	0.459560911	0.08714098	0.004396501	0.007901422	0.000321618	-0.066601	0.052043
EGR3	0.541523501	0.102815803	0.466237358	-0.01963338	0.001332455	0.036333279	0.000980559	0.048285	0.091191
IL2RB	0.53596428	0.047149297	0.366098522	0.115252858	0.003931361	0.033854542	0.000791914	0.076481	0.103177
SOCS3	0.533816745	0.055909198	0.478382585	0.132560599	0.001646215	0.005849417	0.000315813	-0.055339	0.085149
AREG	0.532735884	0.070579823	0.376042651	-0.00128509	0.00290662	0.024197666	0.00090171	0.038527	0.067973
FOS	0.530847531	0.064297633	0.433205812	0.070121067	0.004464584	0.000587436	0.00011604	0.026618	0.067097
IL18RAP	0.524053899	0.056522046	0.353438352	-0.016715234	0.002536707	0.022005887	0.000563419	0.05027	0.067768
FADS2	0.523247016	0.125398688	0.322990907	0.020499134	0.002891688	0.078351683	0.001140733	0.211076	0.103737
HLA.DQB1	0.521971377	0.048024934	0.030021643	-0.035825278	0.000906634	0.237233653	0.001860901	0.284281	0.109186
TNFSF14	0.517235901	0.097016892	0.314089309	2.73E-05	0.002598595	0.001923111	0.000205435	0.212302	0.120475
CETN3	0.508039415	0.100993258	0.347269006	-0.00712139	0.001708641	0.009932537	0.000292419	-0.059721	0.004529
IL1RN	0.507431853	0.077226871	0.250462714	-0.005096107	0.000682528	0.011738775	0.00069606	0.039468	0.064125
XCL2	0.506821645	0.0457062	0.213849276	-0.007510375	0.001636704	0.019550187	0.000431959	0.022053	0.079125
ZNF138	0.505553946	0.041117333	0.298552091	0.015137655	0.002028304	0.000249864	9.47E-05	#N/A	#N/A
IFIT5	0.503632389	0.055358849	0.229267086	-0.003899277	0.001813235	0.141710256	0.002051028	0.146057	0.098371
PDCD4	0.502963087	0.100313189	0.107254989	0.053413119	0.00182376	0.012099841	0.000161903	0.089926	0.086342
EEF1G	0.502301345	0.066898865	0.297093941	0.058994835	0.003780853	0.003377614	0.000327788	-0.05995	0.01598
IL6	0.50178616	0.055469756	0.214219969	0.006139842	0.001228848	0.003141696	0.000366673	-0.018911	0.067498
NR4A3	0.50095945	0.06709696	0.230701979	0.105929507	0.002871299	0.014610309	0.000377793	-0.034794	0.03663
AHR	0.499268495	0.074150865	0.008113333	0.027763646	0.002979117	0.039884738	0.000942338	0.00236	0.07628
CD69	0.497694531	0.078789987	0.390745947	0.05871371	0.004881766	0.005899292	0.000276457	0.015765	0.072353
TRGV3	0.495132044	0.103040398	0.130817298	0.001306259	0.000744485	0.131387887	0.001919411	0.364149	0.113378
HLA.DQA1	0.493761201	0.189051419	0.147312579	-0.024896369	0.000776238	0.143750804	0.001368654	-0.018947	0.03832
CCDC144A	0.491872486	0.065534806	0.263847138	0.003895798	0.000970649	0.047538678	0.000719583	0.0489	0.070738
CXCL10	0.486786388	0.033346127	0.224509299	-0.003178007	0.000780701	0.018767725	0.000780846	0.046536	0.075008
