	var.inter.prop	var.inter.prop.mean	var.inter.prop.sd	var.intra.prop	var.intra.prop.mean	var.intra.prop.sd	var.fixed.prop	var.fixed.prop.mean	var.fixed.prop.sd			
ABCD2	0.176268328	0.175904674	0.007383218	0.823731672	0.824095326	0.007383218	6.56E-08	4.36E-06	2.00E-05	ABCD2	0.020296	0.052091
ABCF1	0.149931215	0.149891153	0.00433318	0.850068785	0.850108847	0.00433318	3.95E-08	3.56E-06	8.87E-06	ABCF1	0.047278	0.061898
ABHD10	0.169913956	0.169916862	0.009222961	0.830086044	0.830083138	0.009222961	4.50E-08	4.46E-06	1.13E-05	ABHD10	0.388645	0.10429
ACP5	0.420214636	0.420452379	0.008983161	0.579785364	0.579547621	0.008983161	1.16E-08	3.59E-06	6.20E-06	ACP5	0.240592	0.099425
ADAMDEC1	0.767123342	0.767196955	0.004457889	0.232876658	0.232803045	0.004457889	7.23E-07	5.07E-06	1.48E-05	ADAMDEC1	0.173944	0.09706
ADCY3	0.378387773	0.378754344	0.012786286	0.621612227	0.621245656	0.012786286	4.21E-08	3.47E-06	7.41E-06	ADCY3	0.112821	0.07837
ADORA3	0.483410456	0.483318765	0.008975015	0.516589544	0.516681235	0.008975015	1.81E-07	5.09E-06	8.40E-06	ADORA3	-0.068104	0.050052
AIM2	0.076226064	0.076798683	0.015420073	0.923773936	0.923201317	0.015420073	2.50E-07	3.98E-06	1.35E-05	AIM2	-0.017542	0.057987
ALOX15B	0.719478054	0.719439947	0.005560953	0.280521946	0.280560053	0.005560953	9.67E-08	4.60E-06	1.25E-05	ALOX15B	0.110794	0.095128
AMPD2	0.119081116	0.119487939	0.010500584	0.880918884	0.880512061	0.010500584	7.94E-08	3.88E-06	8.56E-06	AMPD2	-0.01553	0.062627
ANKRD22	0.174785874	0.174363878	0.012315817	0.825214126	0.825636122	0.012315817	3.89E-09	6.05E-06	3.49E-05	ANKRD22	-0.060845	0.048583
ANKRD28	0.131234225	0.130505996	0.007415116	0.868765775	0.869494004	0.007415116	4.04E-07	3.80E-06	9.99E-06	ANKRD28	0.084363	0.088448
ANO5	0.076715001	0.077025987	0.023394168	0.923284999	0.922974013	0.023394168	1.38E-09	1.98E-06	7.18E-06	ANO5	0.467133	0.103657
ANXA3	0.405456621	0.405634283	0.01215825	0.594543379	0.594365717	0.01215825	2.76E-06	8.00E-06	1.64E-05	ANXA3	0.171568	0.091421
AP2A2	0.302983004	0.302926063	0.00831249	0.697016996	0.697073937	0.00831249	6.14E-07	4.57E-06	6.65E-06	AP2A2	-0.004134	0.062641
APOBEC3A	0.134776335	0.133772536	0.014073992	0.865223665	0.866227464	0.014073992	7.43E-09	3.59E-06	1.57E-05	APOBEC3A	0.095986	0.084088
APOL3	0.382066289	0.382075959	0.011429715	0.617933711	0.617924041	0.011429715	8.20E-08	5.39E-06	1.61E-05	APOL3	0.091218	0.098266
AQP9	0.659386098	0.659511987	0.008271345	0.340613902	0.340488013	0.008271345	1.22E-06	4.52E-06	6.42E-06	AQP9	-0.015316	0.046071
ARL5B	0.065206339	0.065192839	0.006712355	0.934793661	0.934807161	0.006712355	4.94E-07	1.11E-05	7.60E-05	ARL5B	0.155597	0.096489
ASPHD2	0.139192417	0.14071053	0.030849568	0.860807583	0.85928947	0.030849568	2.57E-07	1.73E-06	4.85E-06	ASPHD2	0.132078	0.122511
ATF2	0.116891584	0.11703941	0.008645177	0.883108416	0.88296059	0.008645177	3.19E-08	3.62E-06	6.46E-06			
ATF3	0.243418628	0.243794173	0.019099595	0.756581372	0.756205827	0.019099595	6.56E-09	6.15E-06	2.66E-05	ATF3	0.089167	0.083339
ATG4C	0.06149903	0.061523342	0.007746932	0.93850097	0.938476658	0.007746932	1.45E-07	5.54E-06	1.19E-05	ATG4C	0.097907	0.091616
ATG9A	0.246082267	0.246094011	0.006023875	0.753917733	0.753905989	0.006023875	3.33E-07	2.82E-06	6.25E-06	ATG9A	0.055886	0.071818
ATP10A	0.262468975	0.262607508	0.017612065	0.737531025	0.737392492	0.017612065	5.34E-07	3.69E-06	8.08E-06	ATP10A	-0.00782	0.091622
ATP13A3	0.506697698	0.506764852	0.007887677	0.493302302	0.493235148	0.007887677	3.29E-07	3.29E-06	7.65E-06	ATP13A3	0.191611	0.113277
ATP1B1	0.366429887	0.366728797	0.011800925	0.633570113	0.633271203	0.011800925	1.46E-10	3.79E-06	9.21E-06	ATP1B1	0.096132	0.085251
ATRIP	0.161059178	0.159816581	0.01122491	0.838940822	0.840183419	0.01122491	4.29E-07	5.67E-06	1.88E-05	ATRIP	-0.021564	0.004118
AXL	0.08629252	0.087307924	0.021706886	0.91370748	0.912692076	0.021706886	1.20E-08	2.19E-06	6.74E-06	AXL	0.056099	0.072192
BCL2A1	0.202332919	0.200139755	0.017977504	0.797667081	0.799860245	0.017977504	9.43E-08	7.01E-06	2.90E-05	BCL2A1	-0.107769	0.018888
BCL2L14	0.38137404	0.380360068	0.010732147	0.61862596	0.619639932	0.010732147	2.62E-08	5.95E-06	2.17E-05	BCL2L14	0.0123	0.084107
BRIP1	0.271323039	0.271505125	0.008489184	0.728676961	0.728494875	0.008489184	7.42E-07	4.84E-06	1.08E-05	BRIP1	0.020875	0.060978
C12orf23	0.22768261	0.227814715	0.009826502	0.77231739	0.772185285	0.009826502	7.79E-07	3.73E-06	8.51E-06	C12orf23	0.087983	0.083082
C15orf26	0.051705732	0.052491747	0.018022663	0.948294268	0.947508253	0.018022663	8.03E-08	1.88E-06	7.96E-06	C15orf26	0.029778	0.079249
C15orf48	0.57543232	0.575469849	0.007485189	0.42456768	0.424530151	0.007485189	1.73E-07	3.65E-06	6.36E-06	C15orf48	0.037523	0.059194
C17orf48	0.157681856	0.156915899	0.005890144	0.842318144	0.843084101	0.005890144	8.78E-07	4.16E-06	1.23E-05	C17orf48	-0.059541	0.074121
C19orf12	0.05670696	0.056622586	0.00774782	0.94329304	0.943377414	0.00774782	1.01E-07	6.26E-06	2.72E-05	C19orf12	-0.099064	0.021805
C1orf150	0.241186627	0.240654789	0.017137375	0.758813373	0.759345211	0.017137375	2.11E-07	3.23E-06	7.73E-06	C1orf150	0.167591	0.096634
C3	0.6443872	0.644342178	0.009550624	0.3556128	0.355657822	0.009550624	5.27E-08	3.98E-06	1.33E-05	C3	0.052114	0.093933
C3orf59	0.246297911	0.24576883	0.008517904	0.753702089	0.75423117	0.008517904	1.06E-06	4.74E-06	9.94E-06	C3orf59	0.258315	0.107493
C5	0.250978923	0.24831204	0.017844724	0.749021077	0.75168796	0.017844724	3.86E-08	2.96E-06	1.36E-05	C5	0.003128	0.048287
C6orf192	0.366370262	0.365776861	0.013152698	0.633629738	0.634223139	0.013152698	6.37E-08	5.09E-06	1.66E-05	C6orf192	0.069566	0.079762
C9orf30	0.355363878	0.35590465	0.011342084	0.644636122	0.64409535	0.011342084	2.07E-07	3.77E-06	7.58E-06	C9orf30	-0.013705	0.045194
CARD8	0.186333821	0.186431928	0.008478996	0.813666179	0.813568072	0.008478996	6.43E-07	3.95E-06	9.70E-06	CARD8	0.465154	0.109831
CARD9	0.410944455	0.411393166	0.011825609	0.589055545	0.588606834	0.011825609	4.97E-07	3.36E-06	5.21E-06			
CASP1	0.28663147	0.287209539	0.011970264	0.71336853	0.712790461	0.011970264	6.94E-08	3.88E-06	6.45E-06	CASP1	0.045307	0.06095
CASP5	0.140031094	0.13864852	0.012232305	0.859968906	0.86135148	0.012232305	1.33E-08	3.90E-06	2.09E-05	CASP5	-0.02066	0.032658
CASP7	0.253313069	0.253118518	0.007828331	0.746686931	0.746881482	0.007828331	2.95E-08	5.20E-06	1.11E-05	CASP7	0.142772	0.100799
CASS4	0.476376589	0.476390593	0.007322363	0.523623411	0.523609407	0.007322363	6.14E-07	3.54E-06	3.88E-06	CASS4	-0.090327	0.046353
CCDC109B	0.365869269	0.366171693	0.009477354	0.634130731	0.633828307	0.009477354	5.35E-10	3.07E-06	5.70E-06	CCDC109B	0.122499	0.090562
CCDC146	0.251181896	0.250480153	0.009219228	0.748818104	0.749519847	0.009219228	1.02E-07	3.41E-06	7.76E-06	CCDC146	0.157211	0.090287
CCL1	0.071383504	0.071468348	0.008136514	0.928616496	0.928531652	0.008136514	8.21E-08	2.19E-06	4.44E-06	CCL1	-0.040248	0.074306
CCL7	0.384011093	0.383917076	0.01024703	0.615988907	0.616082924	0.01024703	7.70E-08	5.99E-06	2.43E-05	CCL7	0.026891	0.091199
CCR7	0.433304801	0.433195576	0.009993332	0.566695199	0.566804424	0.009993332	3.18E-08	5.57E-06	1.42E-05	CCR7	0.016553	0.052503
CD14	0.586448116	0.586364687	0.008534271	0.413551884	0.413635313	0.008534271	4.84E-08	3.03E-06	4.41E-06	CD14	-0.04131	0.004636
CD19	0.029173423	0.029637188	0.011053838	0.970826577	0.970362812	0.011053838	2.06E-10	2.08E-06	9.18E-06	CD19	-0.038392	0.004951
CD24	0.61592544	0.615756004	0.006162637	0.38407456	0.384243996	0.006162637	5.82E-07	4.09E-06	4.97E-06			
CD2AP	0.385823164	0.386248428	0.010828602	0.614176836	0.613751572	0.010828602	8.05E-07	3.99E-06	5.72E-06	CD2AP	0.2934	0.105687
CD3E	0.506668795	0.507009661	0.012696877	0.493331205	0.492990339	0.012696877	1.74E-07	4.22E-06	1.06E-05	CD3E	-0.014464	0.063055
CD40	0.332456931	0.332665656	0.011747758	0.667543069	0.667334344	0.011747758	9.37E-07	4.85E-06	7.74E-06	CD40	0.065578	0.079918
CD48	0.627349687	0.627202773	0.005660216	0.372650313	0.372797227	0.005660216	4.40E-07	3.36E-06	5.53E-06	CD48	0.11203	0.095895
CD69	0.328717414	0.329144483	0.015291537	0.671282586	0.670855517	0.015291537	1.70E-09	4.65E-06	2.20E-05	CD69	-0.102084	0.002111
CD86	0.222347888	0.222601557	0.009353203	0.777652112	0.777398443	0.009353203	1.32E-08	4.08E-06	1.24E-05	CD86	0.028757	0.060033
CD93	0.470357767	0.470298795	0.008897515	0.529642233	0.529701205	0.008897515	3.67E-08	3.63E-06	5.79E-06	CD93	0.262895	0.102458
CDC37	0.42449439	0.424810192	0.012200465	0.57550561	0.575189808	0.012200465	2.08E-06	4.40E-06	4.09E-06	CDC37	-0.073402	0.014888
CH25H	0.376619633	0.377278658	0.018292001	0.623380367	0.622721342	0.018292001	1.81E-08	2.81E-06	6.80E-06	CH25H	0.10785	0.088673
CHUK	0.155610385	0.156165285	0.016683184	0.844389615	0.843834715	0.016683184	6.29E-08	3.03E-06	5.93E-06	CHUK	0.014957	0.058993
CKB	0.184565402	0.184595438	0.00868431	0.815434598	0.815404562	0.00868431	7.00E-08	7.15E-06	2.26E-05	CKB	0.223596	0.099925
CLEC4D	0.164959887	0.164874086	0.006868249	0.835040113	0.835125914	0.006868249	7.32E-08	4.14E-06	1.60E-05	CLEC4D	0.095781	0.088768
CLEC4E	0.656476528	0.656300834	0.007147179	0.343523472	0.343699166	0.007147179	1.28E-07	4.73E-06	1.95E-05	CLEC4E	0.251557	0.106403
CLEC4F	0.499555467	0.499646689	0.012907291	0.500444533	0.500353311	0.012907291	4.80E-07	3.32E-06	7.57E-06	CLEC4F	0.136336	0.09333
CLEC5A	0.474452711	0.473915964	0.008900911	0.525547289	0.526084036	0.008900911	1.27E-06	7.33E-06	3.23E-05			
CLECL1	0.378305335	0.37796404	0.008436635	0.621694665	0.62203596	0.008436635	7.65E-07	4.25E-06	5.59E-06	CLECL1	0.526498	0.100054
COBLL1	0.259172672	0.258889867	0.014385573	0.740827328	0.741110133	0.014385573	3.94E-09	3.47E-06	1.03E-05	COBLL1	0.139026	0.087638
CPNE1	0.278038174	0.278483974	0.009504886	0.721961826	0.721516026	0.009504886	2.55E-07	2.94E-06	4.32E-06	CPNE1	0.556846	0.099781
CREB1	0.25428981	0.254461577	0.0077078	0.74571019	0.745538423	0.0077078	2.04E-09	4.17E-06	1.35E-05	CREB1	0.14034	0.090298
CREM	0.490959771	0.490825719	0.008846975	0.509040229	0.509174281	0.008846975	1.85E-07	3.42E-06	5.58E-06	CREM	0.091332	0.077392
CSF2RA	0.414862554	0.415158513	0.007499475	0.585137446	0.584841487	0.007499475	3.98E-07	4.31E-06	7.06E-06			
CTLA4	0.352540012	0.351312654	0.011700677	0.647459988	0.648687346	0.011700677	5.89E-08	3.48E-06	1.16E-05	CTLA4	0.078916	0.076541
CTSH	0.608441028	0.608569631	0.010478574	0.391558972	0.391430369	0.010478574	8.48E-08	4.47E-06	7.42E-06	CTSH	0.537962	0.102297
CUL4A	0.236888949	0.236975225	0.010555688	0.763111051	0.763024775	0.010555688	2.92E-08	3.51E-06	1.25E-05	CUL4A	0.232785	0.109742
CXorf21	0.249583473	0.249754687	0.00768233	0.750416527	0.750245313	0.00768233	2.80E-07	4.64E-06	9.40E-06			
CYBRD1	0.580658283	0.580587184	0.008001196	0.419341717	0.419412816	0.008001196	6.43E-10	3.85E-06	6.66E-06	CYBRD1	0.381987	0.105892
CYLD	0	0	0	1	1	0	8.64E-08	2.87E-06	1.13E-05	CYLD	0.135638	0.097798
CYP27B1	0.256940717	0.256141873	0.012466693	0.743059283	0.743858127	0.012466693	1.05E-08	5.63E-06	2.26E-05			
DAPP1	0.369763179	0.36998371	0.010886542	0.630236821	0.63001629	0.010886542	1.82E-06	6.24E-06	8.33E-06	DAPP1	0.305172	0.105844
DCBLD1	0.388097528	0.388392242	0.009709201	0.611902472	0.611607758	0.009709201	1.40E-06	4.72E-06	6.57E-06	DCBLD1	0.323518	0.102378
DCTN5	0.373333769	0.373264212	0.007886431	0.626666231	0.626735788	0.007886431	4.77E-07	3.68E-06	4.94E-06	DCTN5	0.745559	0.075766
DDX3Y	0.265814557	0.26602512	0.022653485	0.734185443	0.73397488	0.022653485	1.40E-09	8.03E-06	4.52E-05			
DDX58	0.127729439	0.128680188	0.021423171	0.872270561	0.871319812	0.021423171	9.88E-07	1.01E-05	6.53E-05			
DEPDC7	0.080658546	0.081086631	0.011095584	0.919341454	0.918913369	0.011095584	1.16E-07	2.47E-06	4.74E-06	DEPDC7	0.201102	0.100684
DGKH	0.401558591	0.401899411	0.007117734	0.598441409	0.598100589	0.007117734	1.71E-06	4.36E-06	4.61E-06	DGKH	0.446645	0.106198
DKK1	0.077870058	0.077490564	0.014135237	0.922129942	0.922509436	0.014135237	9.55E-08	2.69E-06	1.04E-05			
DNAH7	0.032463418	0.032925691	0.012691734	0.967536582	0.967074309	0.012691734	5.05E-10	1.85E-06	9.42E-06	DNAH7	0.078704	0.073782
DSP	0.135295965	0.13413551	0.015051932	0.864704035	0.86586449	0.015051932	1.01E-08	3.41E-06	1.71E-05	DSP	0.097388	0.100925
DTX4	0.301042677	0.301704784	0.022383457	0.698957323	0.698295216	0.022383457	3.64E-07	2.88E-06	6.87E-06	DTX4	-0.00426	0.035722
DUSP6	0.418345339	0.418278338	0.007914611	0.581654661	0.581721662	0.007914611	1.10E-07	3.31E-06	5.13E-06	DUSP6	0.042825	0.061921
EAF2	0.324288487	0.324488641	0.014713922	0.675711513	0.675511359	0.014713922	8.15E-07	3.72E-06	7.62E-06	EAF2	0.182598	0.091889
ECSIT	0.103914969	0.102567491	0.011947504	0.896085031	0.897432509	0.011947504	2.74E-07	6.26E-06	2.74E-05	ECSIT	-0.072887	0.005525
EDN1	0.032530431	0.03279961	0.011968433	0.967469569	0.96720039	0.011968433	1.17E-08	1.91E-06	7.89E-06	EDN1	-0.031967	0.059509
EHD1	0.228720112	0.229358675	0.02021028	0.771279888	0.770641325	0.02021028	4.61E-07	8.32E-06	4.63E-05	EHD1	-0.059233	0.004562
EIF1AY	0.2833282	0.283165098	0.011043552	0.7166718	0.716834902	0.011043552	3.58E-07	7.55E-06	2.63E-05			
EIF4E3	0.2327206	0.232359688	0.007038627	0.7672794	0.767640312	0.007038627	1.21E-06	5.58E-06	1.41E-05	EIF4E3	0.253348	0.116399
ELP2	0.589892199	0.590026111	0.005767357	0.410107801	0.409973889	0.005767357	9.72E-07	4.40E-06	5.50E-06	ELP2	0.702869	0.073337
EMR1	0.140952789	0.139696174	0.010976307	0.859047211	0.860303826	0.010976307	7.84E-08	3.34E-06	1.57E-05	EMR1	0.010016	0.088695
EPSTI1	0.490442604	0.490225729	0.00772177	0.509557396	0.509774271	0.00772177	4.53E-07	4.08E-06	8.84E-06	EPSTI1	0.087406	0.087105
ERAP1	0.597353294	0.597620874	0.009345118	0.402646706	0.402379126	0.009345118	8.09E-07	3.95E-06	5.59E-06	ERAP1	0.597223	0.089597
ERAP2	0.861518399	0.861530652	0.002651614	0.138481601	0.138469348	0.002651614	9.49E-07	4.77E-06	5.94E-06	ERAP2	0.775031	0.058469
ETS2	0.656623055	0.656720965	0.007026499	0.343376945	0.343279035	0.007026499	6.30E-08	3.05E-06	7.76E-06	ETS2	0.547948	0.105937
FADD	0.170120998	0.169880598	0.004454333	0.829879002	0.830119402	0.004454333	3.40E-08	3.18E-06	8.57E-06	FADD	-0.005979	0.070704
FAM120AOS	0.133243667	0.132860836	0.006207832	0.866756333	0.867139164	0.006207832	3.96E-07	3.35E-06	5.15E-06	FAM120AOS	-0.038118	0.026068
FAM135A	0.18519579	0.185221319	0.006964853	0.81480421	0.814778681	0.006964853	2.71E-06	6.57E-06	8.36E-06	FAM135A	-0.009436	0.055724
FAM26F	0.577459783	0.577263177	0.006449535	0.422540217	0.422736823	0.006449535	1.19E-06	5.23E-06	1.17E-05			
FAS	0.203760535	0.204034089	0.01364501	0.796239465	0.795965911	0.01364501	5.08E-08	3.27E-06	8.84E-06	FAS	0.073337	0.086526
FBN2	0.237345228	0.238176769	0.026602131	0.762654772	0.761823231	0.026602131	1.61E-08	3.06E-06	1.14E-05	FBN2	0.332446	0.104373
FCGR1A	0.140999498	0.140441157	0.009314074	0.859000502	0.859558843	0.009314074	2.84E-09	7.02E-06	4.32E-05	FCGR1A	-0.023524	0.006604
FCGR2B	0.527791223	0.527909638	0.009021602	0.472208777	0.472090362	0.009021602	4.19E-09	3.05E-06	5.25E-06	FCGR2B	0.307865	0.109692
FCGR2C	0.549700552	0.549831938	0.00859849	0.450299448	0.450168062	0.00859849	5.66E-11	3.13E-06	5.07E-06	FCGR2C	0.33787	0.109361
FCGR3A	0.56138066	0.561519572	0.009363223	0.43861934	0.438480428	0.009363223	3.18E-07	3.44E-06	4.65E-06	FCGR3A	-0.017584	0.058867
FGD4	0.19119475	0.191770013	0.012931662	0.80880525	0.808229987	0.012931662	1.05E-08	3.40E-06	5.79E-06	FGD4	0.165292	0.095252
FHAD1	0.062968009	0.06352319	0.017920673	0.937031991	0.93647681	0.017920673	6.69E-09	1.79E-06	8.61E-06	FHAD1	0.081703	0.094252
FOS	0.595892335	0.596157939	0.010937236	0.404107665	0.403842061	0.010937236	4.19E-07	2.93E-06	4.77E-06	FOS	0.044077	0.071426
FRG2	0.204825745	0.2025043	0.015693311	0.795174255	0.7974957	0.015693311	1.65E-10	7.89E-06	3.06E-05	FRG2	-0.072623	0.000298
FRG2B	0.24363424	0.241832941	0.009998348	0.75636576	0.758167059	0.009998348	7.62E-08	1.34E-05	7.81E-05	FRG2B	0.052771	0.062207
FRMD3	0.260275799	0.258341753	0.01558021	0.739724201	0.741658247	0.01558021	8.21E-08	7.16E-06	3.36E-05	FRMD3	0.076511	0.085375
FZD3	0.256889986	0.256820617	0.010461382	0.743110014	0.743179383	0.010461382	1.28E-06	4.42E-06	5.26E-06	FZD3	0.049892	0.079415
GADD45A	0.490701252	0.490627977	0.008447168	0.509298748	0.509372023	0.008447168	1.04E-06	4.38E-06	5.61E-06	GADD45A	0.032726	0.075641
GAPDH	0.203522517	0.203514408	0.005939803	0.796477483	0.796485592	0.005939803	1.00E-06	5.27E-06	7.80E-06	GAPDH	0.385455	0.112942
GBP1	0.244522086	0.245035266	0.019421744	0.755477914	0.754964734	0.019421744	2.46E-07	7.93E-06	4.41E-05			
GBP3	0.485232561	0.485769365	0.014571603	0.514767439	0.514230635	0.014571603	5.53E-08	3.98E-06	8.48E-06	GBP3	0.753063	0.062696
GCNT4	0.036663884	0.036937036	0.013296185	0.963336116	0.963062964	0.013296185	3.48E-08	2.12E-06	9.06E-06	GCNT4	-0.074406	0.00002
GCOM1	0.293401934	0.292941745	0.010193008	0.706598066	0.707058255	0.010193008	2.05E-06	5.70E-06	7.38E-06	GCOM1	0.041868	0.073508
GEM	0.040282202	0.040780278	0.009989469	0.959717798	0.959219722	0.009989469	1.76E-07	2.98E-06	6.70E-06	GEM	-0.089263	0.003217
GFRA2	0.484900818	0.484762829	0.007536225	0.515099182	0.515237171	0.007536225	2.11E-07	3.54E-06	5.31E-06	GFRA2	-0.111172	0.021686
GK	0.124567491	0.124652331	0.018336388	0.875432509	0.875347669	0.018336388	1.80E-07	2.58E-06	5.06E-06			
GNAS	0.197907641	0.198094148	0.0055449	0.802092359	0.801905852	0.0055449	1.52E-06	5.46E-06	7.57E-06	GNAS	0.045174	0.098127
GP1BA	0.428560375	0.428750359	0.014921054	0.571439625	0.571249641	0.014921054	8.59E-07	4.53E-06	9.60E-06	GP1BA	0.522049	0.105141
GPR68	0.481450568	0.48132433	0.007698774	0.518549432	0.51867567	0.007698774	1.14E-08	2.72E-06	4.33E-06	GPR68	-0.00111	0.066142
GRAMD1B	0.254885981	0.254981351	0.014859749	0.745114019	0.745018649	0.014859749	1.45E-06	5.12E-06	7.11E-06	GRAMD1B	-0.084222	0.020277
GSTM3	0.318978539	0.3187979	0.020225115	0.681021461	0.6812021	0.020225115	4.97E-07	6.92E-06	3.63E-05	GSTM3	0.579557	0.096889
GSTT1	0.902400317	0.902379959	0.001904365	0.097599683	0.097620041	0.001904365	7.02E-07	3.35E-06	4.10E-06	GSTT1	0.72691	0.07246
GTPBP2	0.172120817	0.172023488	0.006302015	0.827879183	0.827976512	0.006302015	5.32E-07	3.59E-06	7.32E-06	GTPBP2	-0.042359	0.062569
GYPA	0.107707507	0.107110236	0.009482211	0.892292493	0.892889764	0.009482211	1.68E-07	9.83E-06	6.38E-05	GYPA	-0.043635	0.00445
HARS	0.109647193	0.110281158	0.010892748	0.890352807	0.889718842	0.010892748	3.46E-08	3.45E-06	7.58E-06	HARS	-0.04695	0.000022
HBEGF	0.248149976	0.248221038	0.0109867	0.751850024	0.751778962	0.0109867	6.02E-09	4.26E-06	1.10E-05	HBEGF	0.041537	0.059657
HELB	0.373819097	0.37331278	0.006947099	0.626180903	0.62668722	0.006947099	3.32E-08	3.53E-06	6.20E-06	HELB	0.166127	0.097015
HIRA	0.164439485	0.16496126	0.007649671	0.835560515	0.83503874	0.007649671	1.56E-11	3.11E-06	1.13E-05	HIRA	-0.038448	0.05796
HIST2H2BE	0.251372183	0.250382063	0.008110445	0.748627817	0.749617937	0.008110445	1.63E-06	6.92E-06	1.82E-05	HIST2H2BE	-0.016747	0.008656
HIVEP2	0.162626785	0.163214112	0.014057914	0.837373215	0.836785888	0.014057914	1.15E-07	7.10E-06	3.37E-05	HIVEP2	-0.055993	0.043743
HK2	0.469562077	0.469368065	0.00791764	0.530437923	0.530631935	0.00791764	5.52E-07	3.95E-06	6.44E-06	HK2	-0.071017	0.001585
HLTF	0.086312565	0.086576636	0.008845112	0.913687435	0.913423364	0.008845112	7.70E-09	1.93E-06	3.46E-06	HLTF	-0.003175	0.067612
HMBS	0.287236235	0.287490549	0.009046806	0.712763765	0.712509451	0.009046806	4.11E-07	3.62E-06	5.77E-06	HMBS	0.220234	0.102476
HMGB1	0.206845091	0.206715771	0.007722766	0.793154909	0.793284229	0.007722766	1.13E-07	3.53E-06	7.86E-06	HMGB1	-0.027668	0.076181
HMGB2	0.500453895	0.500607943	0.007301236	0.499546105	0.499392057	0.007301236	1.68E-08	3.44E-06	6.26E-06	HMGB2	-0.040127	0.049134
HMGB3	0.058568564	0.057818443	0.009429986	0.941431436	0.942181557	0.009429986	7.62E-07	3.64E-06	9.17E-06			
HPS1	0.12970122	0.130229927	0.012281402	0.87029878	0.869770073	0.012281402	6.35E-07	3.55E-06	4.01E-06	HPS1	0.137967	0.091114
HPSE	0.232581286	0.232735212	0.014451654	0.767418714	0.767264788	0.014451654	3.46E-07	3.13E-06	4.55E-06	HPSE	-0.055	0.043095
HRH4	0.134591706	0.134943245	0.019052181	0.865408294	0.865056755	0.019052181	2.40E-06	5.02E-06	6.13E-06	HRH4	0.293206	0.109241
HSPA4L	0.152508805	0.152157193	0.009937428	0.847491195	0.847842807	0.009937428	3.44E-06	7.11E-06	7.23E-06	HSPA4L	0.05744	0.061424
IFI27	0.544903474	0.544517345	0.010893259	0.455096526	0.455482655	0.010893259	7.04E-07	6.98E-06	2.78E-05	IFI27	-0.143224	0.020083
IFI44	0.438636383	0.438533057	0.010794608	0.561363617	0.561466943	0.010794608	6.94E-07	5.30E-06	1.51E-05	IFI44	0.01038	0.051729
IFIH1	0.237953646	0.238190395	0.010714764	0.762046354	0.761809605	0.010714764	6.22E-07	6.59E-06	3.59E-05	IFIH1	0.024972	0.051651
IFIT2	0.142145091	0.14456457	0.039053279	0.857854909	0.85543543	0.039053279	4.03E-07	1.02E-05	7.48E-05	IFIT2	0.026058	0.070259
IFIT5	0.176207025	0.176655115	0.018292951	0.823792975	0.823344885	0.018292951	2.58E-06	8.89E-06	3.36E-05	IFIT5	0.402059	0.106393
IFITM3	0.585316657	0.58526628	0.006959884	0.414683343	0.41473372	0.006959884	7.37E-07	4.16E-06	6.49E-06	IFITM3	0.604661	0.086592
IFNA10	0.127502032	0.126812231	0.010203682	0.872497968	0.873187769	0.010203682	2.15E-08	8.24E-06	5.53E-05	IFNA10	0.00731	0.059022
IFNA13	0.183194582	0.180272335	0.021472536	0.816805418	0.819727665	0.021472536	3.30E-09	8.05E-06	4.31E-05	IFNA13	0.037475	0.065705
IFNA14	0.18457776	0.181908822	0.024818354	0.81542224	0.818091178	0.024818354	4.44E-08	3.91E-06	1.91E-05	IFNA14	-0.02236	0.04649
IFNA16	0.196909311	0.196413587	0.014138593	0.803090689	0.803586413	0.014138593	5.95E-08	6.99E-06	3.73E-05	IFNA16	-0.071581	0.015428
IFNA17	0.133750195	0.133349044	0.021541942	0.866249805	0.866650956	0.021541942	9.38E-09	3.53E-06	1.74E-05	IFNA17	0.003462	0.057117
IFNA2	0.158809914	0.158053908	0.014714686	0.841190086	0.841946092	0.014714686	2.52E-07	6.92E-06	4.16E-05	IFNA2	-0.066648	0.01371
