	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	featureData.symbol
ENSG00000187608	1139.716377	6.413682846	0.285505703	22.46428982	9.28E-112	5.62E-108	ISG15
ENSG00000160932	132.6517976	4.872632247	0.223159835	21.83471882	1.09E-105	3.29E-102	LY6E
ENSG00000126709	119.3480383	5.39994642	0.262029146	20.60819	2.32E-94	4.68E-91	IFI6
ENSG00000185507	112.7256201	3.664122089	0.183038062	20.01836152	3.81E-89	5.77E-86	IRF7
ENSG00000157601	117.4307258	5.49131336	0.290149428	18.92581143	6.99E-80	8.47E-77	MX1
ENSG00000156587	55.67886389	3.925462205	0.207787052	18.89175561	1.33E-79	1.35E-76	UBE2L6
ENSG00000130303	110.2213117	3.024495552	0.163006189	18.55448288	7.50E-77	6.49E-74	BST2
ENSG00000172183	315.7632001	3.666598202	0.198274313	18.49255278	2.37E-76	1.80E-73	ISG20
ENSG00000089127	65.3531384	5.575054812	0.302119036	18.45317291	4.92E-76	3.31E-73	OAS1
ENSG00000240065	67.73545843	2.669420017	0.158236882	16.86977136	7.51E-64	4.55E-61	PSMB9
ENSG00000121858	125.9432915	7.881425399	0.488977778	16.11816683	1.90E-58	1.05E-55	TNFSF10
ENSG00000119917	144.9591697	8.387887784	0.530951021	15.79785603	3.22E-56	1.62E-53	IFIT3
ENSG00000134321	97.62790973	6.992248114	0.453622934	15.41422973	1.31E-53	6.12E-51	RSAD2
ENSG00000142089	155.5167697	5.615482137	0.365278458	15.37315439	2.48E-53	1.07E-50	IFITM3
ENSG00000133106	41.05208884	4.513641456	0.294028144	15.35105245	3.48E-53	1.41E-50	EPSTI1
ENSG00000146425	66.25706583	2.56212934	0.168597324	15.19673792	3.72E-52	1.41E-49	DYNLT1
ENSG00000002549	68.59447922	3.251227835	0.217005473	14.98223887	9.59E-51	3.42E-48	LAP3
ENSG00000068079	38.86618808	4.271924215	0.287225713	14.87305634	4.93E-50	1.66E-47	IFI35
ENSG00000177409	46.18422589	3.873149514	0.262751262	14.74074562	3.53E-49	1.13E-46	SAMD9L
ENSG00000041357	59.60554983	2.029039271	0.139477761	14.54740354	6.07E-48	1.84E-45	PSMA4
ENSG00000137959	37.70545238	5.333879245	0.371090351	14.37353255	7.59E-47	2.19E-44	IFI44L
ENSG00000169248	119.5426568	7.725343905	0.543269168	14.22010369	6.88E-46	1.89E-43	CXCL11
ENSG00000080824	127.1030362	2.020016626	0.14638814	13.7990456	2.58E-43	6.80E-41	HSP90AA1
ENSG00000204389	72.64269437	4.337734788	0.315664507	13.74159809	5.72E-43	1.44E-40	HSPA1A
ENSG00000168394	43.68384141	2.314591475	0.168585086	13.72951503	6.76E-43	1.64E-40	TAP1
ENSG00000185745	110.0537638	8.413238187	0.614592454	13.68913355	1.18E-42	2.75E-40	IFIT1
ENSG00000185201	46.59048447	4.064781759	0.299991958	13.54963573	7.96E-42	1.79E-39	IFITM2
ENSG00000188313	68.03050795	3.206080562	0.24492785	13.08989793	3.76E-39	8.14E-37	PLSCR1
ENSG00000204592	88.00598889	1.364166145	0.10656453	12.80131522	1.61E-37	3.37E-35	HLA-E
ENSG00000123609	25.94397207	2.948345705	0.235122588	12.53961063	4.53E-36	9.15E-34	NMI
ENSG00000115267	21.04887549	3.966038576	0.321281317	12.34444196	5.22E-35	1.02E-32	IFIH1
ENSG00000163565	22.08787278	3.551021376	0.288251307	12.3191857	7.14E-35	1.35E-32	IFI16
ENSG00000162654	25.2773059	4.507106013	0.366287968	12.30481592	8.53E-35	1.57E-32	GBP4
ENSG00000004468	28.8897539	5.535010201	0.45130566	12.26443782	1.41E-34	2.50E-32	CD38
ENSG00000119922	74.19012631	8.126915467	0.66511944	12.21873091	2.47E-34	4.27E-32	IFIT2
ENSG00000183486	23.30313921	4.679631746	0.387896808	12.06411511	1.63E-33	2.75E-31	MX2
ENSG00000135899	19.39566194	4.351194548	0.363911165	11.95674925	5.99E-33	9.80E-31	SP110
ENSG00000055332	26.31672321	4.191897655	0.351696415	11.91907986	9.41E-33	1.50E-30	EIF2AK2
ENSG00000205413	25.73522858	3.988157766	0.341297669	11.68527688	1.52E-31	2.35E-29	SAMD9
ENSG00000113387	86.60376036	1.437529747	0.124950055	11.50483486	1.25E-30	1.89E-28	SUB1
ENSG00000138646	24.83330924	5.66778519	0.493934984	11.47475958	1.77E-30	2.61E-28	HERC5
ENSG00000122643	19.67739852	5.044473932	0.447364096	11.27599193	1.72E-29	2.49E-27	NT5C3A
ENSG00000140968	34.02422947	2.973202083	0.265166255	11.21259595	3.54E-29	4.98E-27	IRF8
ENSG00000132530	18.7791973	4.194596867	0.377844235	11.10139172	1.24E-28	1.70E-26	XAF1
ENSG00000163563	20.64743578	4.614772833	0.418764672	11.01996692	3.06E-28	4.12E-26	MNDA
ENSG00000135114	24.6443141	6.165069093	0.564334707	10.92449041	8.80E-28	1.16E-25	OASL
ENSG00000128383	86.37720963	6.364571967	0.583664832	10.90449796	1.10E-27	1.41E-25	APOBEC3A
ENSG00000115415	20.08139017	3.324260709	0.308058095	10.79101885	3.80E-27	4.79E-25	STAT1
ENSG00000169245	642.7314936	7.881043556	0.731962643	10.76700244	4.93E-27	6.09E-25	CXCL10
ENSG00000188820	28.46750335	4.190030927	0.389593226	10.75488649	5.62E-27	6.81E-25	FAM26F
ENSG00000117228	47.13687689	3.893562087	0.370438926	10.51067211	7.71E-26	9.16E-24	GBP1
ENSG00000125826	17.47512735	2.864333487	0.274668408	10.42833251	1.84E-25	2.14E-23	RBCK1
ENSG00000106588	65.01918817	1.78116856	0.172063549	10.35180644	4.11E-25	4.69E-23	PSMA2
ENSG00000173193	16.80340429	3.487890527	0.338002885	10.31911466	5.78E-25	6.48E-23	PARP14
ENSG00000132274	15.21674088	3.526246678	0.345725064	10.19956911	1.99E-24	2.19E-22	TRIM22
ENSG00000165949	73.79063406	5.871378448	0.583733496	10.05832026	8.44E-24	9.13E-22	IFI27
ENSG00000034510	254.1729672	1.141139824	0.115543916	9.876243312	5.28E-23	5.61E-21	TMSB10
ENSG00000106211	62.92483402	2.587056808	0.266229888	9.717379312	2.54E-22	2.66E-20	HSPB1
ENSG00000067066	17.67481006	2.451467243	0.255932125	9.578583549	9.84E-22	1.01E-19	SP100
ENSG00000100911	151.5446139	1.583237502	0.166093744	9.532192282	1.54E-21	1.53E-19	PSME2
ENSG00000160593	15.43417438	-3.268663319	0.344392426	-9.491101061	2.29E-21	2.23E-19	AMICA1
ENSG00000134326	22.42030149	6.848562869	0.723788972	9.462098951	3.02E-21	2.90E-19	CMPK2
ENSG00000239713	21.64941201	2.812411878	0.297301968	9.459782244	3.09E-21	2.92E-19	APOBEC3G
ENSG00000140511	13.57182394	3.993275036	0.422465313	9.452314575	3.31E-21	3.09E-19	HAPLN3
ENSG00000138385	30.54703793	2.150254174	0.228515548	9.409662474	4.98E-21	4.57E-19	SSB
ENSG00000137965	12.68583589	4.676661215	0.498204142	9.387038012	6.17E-21	5.58E-19	IFI44
ENSG00000204264	31.04946069	1.852580084	0.200709961	9.230135244	2.70E-20	2.41E-18	PSMB8
ENSG00000140105	26.46613671	3.395482345	0.371741196	9.133995323	6.60E-20	5.80E-18	WARS
ENSG00000107201	16.80743973	5.875177023	0.645342106	9.103972874	8.71E-20	7.54E-18	DDX58
ENSG00000086061	73.77902896	1.538833487	0.171890073	8.952427888	3.48E-19	2.97E-17	DNAJA1
ENSG00000175550	39.18637848	1.696471063	0.18956469	8.949298848	3.58E-19	3.01E-17	DRAP1
ENSG00000163644	15.9254398	3.194242023	0.363925598	8.777184238	1.68E-18	1.37E-16	PPM1K
ENSG00000168899	9.999097933	3.829676326	0.436856464	8.766440787	1.84E-18	1.49E-16	VAMP5
ENSG00000102524	75.40937886	2.268385797	0.261853385	8.662808749	4.60E-18	3.67E-16	TNFSF13B
ENSG00000135535	22.63236246	1.776946909	0.205313697	8.654789897	4.94E-18	3.89E-16	CD164
ENSG00000168961	19.99514929	2.220977185	0.25702527	8.641084903	5.57E-18	4.32E-16	LGALS9
ENSG00000138496	9.913232823	3.820665735	0.44329455	8.618796986	6.77E-18	5.19E-16	PARP9
ENSG00000178741	42.51767524	1.635436012	0.19219869	8.509090312	1.75E-17	1.33E-15	COX5A
ENSG00000069493	22.66708152	3.237764869	0.383524368	8.442135997	3.12E-17	2.33E-15	CLEC2D
ENSG00000185338	13.74312681	2.793820985	0.332587683	8.400253912	4.46E-17	3.29E-15	SOCS1
ENSG00000111335	12.17211421	5.683141648	0.685805013	8.286818471	1.16E-16	8.39E-15	OAS2
ENSG00000183726	54.13844272	1.322958256	0.159762305	8.280791012	1.22E-16	8.72E-15	TMEM50A
ENSG00000196776	39.9824497	1.331010212	0.160766236	8.279165109	1.24E-16	8.74E-15	CD47
ENSG00000108771	10.69251214	5.530878385	0.669261428	8.264152322	1.41E-16	9.80E-15	DHX58
ENSG00000111331	10.07192567	5.497394924	0.676635615	8.124601781	4.49E-16	3.09E-14	OAS3
ENSG00000152061	13.0419016	3.499112872	0.435825125	8.02870846	9.85E-16	6.70E-14	RABGAP1L
ENSG00000143384	18.09803863	1.813914469	0.226073059	8.023576432	1.03E-15	6.91E-14	MCL1
ENSG00000107262	11.66550051	2.522058155	0.314758652	8.012673006	1.12E-15	7.47E-14	BAG1
ENSG00000114127	9.906000295	3.115909811	0.391951	7.949743232	1.87E-15	1.23E-13	XRN1
ENSG00000204267	9.164563972	3.383940125	0.425972649	7.944031464	1.96E-15	1.26E-13	TAP2
ENSG00000101608	143.8489398	1.247716217	0.157064011	7.943998195	1.96E-15	1.26E-13	MYL12A
ENSG00000174444	67.30683537	-1.12797234	0.143168526	-7.878633461	3.31E-15	2.11E-13	RPL4
ENSG00000160710	11.34159802	2.498999834	0.317322036	7.875279843	3.40E-15	2.15E-13	ADAR
ENSG00000138035	8.297113813	3.752579175	0.484713703	7.741846692	9.80E-15	6.06E-13	PNPT1
ENSG00000026751	24.42301175	1.899871097	0.246659771	7.702395457	1.34E-14	8.17E-13	SLAMF7
